case,activation,hidden,n,n_failed,fail_rate
paper_poly3,sigmoid,"16,8,4",94,0,0.0
paper_poly3,sigmoid,4,100,0,0.0
paper_poly3,sigmoid,"8,4",100,0,0.0
paper_poly3,softplus,"16,8,4",98,0,0.0
paper_poly3,softplus,4,100,0,0.0
paper_poly3,softplus,"8,4",100,0,0.0
paper_poly3,tanh,"16,8,4",100,0,0.0
paper_poly3,tanh,4,100,0,0.0
paper_poly3,tanh,"8,4",100,0,0.0
paper_poly4,sigmoid,"16,8,4",96,2,0.021
paper_poly4,sigmoid,4,100,0,0.0
paper_poly4,sigmoid,"8,4",100,2,0.02
paper_poly4,softplus,"16,8,4",96,2,0.021
paper_poly4,softplus,4,96,0,0.0
paper_poly4,softplus,"8,4",100,0,0.0
paper_poly4,tanh,"16,8,4",100,0,0.0
paper_poly4,tanh,4,100,0,0.0
paper_poly4,tanh,"8,4",100,0,0.0
smooth_nonlinear,softplus,"16,8,4",96,34,0.354
smooth_nonlinear,softplus,4,86,0,0.0
smooth_nonlinear,softplus,"8,4",100,6,0.06
smooth_nonlinear_rand,sigmoid,"16,8,4",100,10,0.1
smooth_nonlinear_rand,sigmoid,4,100,0,0.0
smooth_nonlinear_rand,sigmoid,"8,4",100,32,0.32
smooth_nonlinear_rand,softplus,"16,8,4",98,50,0.51
smooth_nonlinear_rand,softplus,4,100,0,0.0
smooth_nonlinear_rand,softplus,"8,4",100,38,0.38
smooth_nonlinear_rand,tanh,"16,8,4",100,20,0.2
smooth_nonlinear_rand,tanh,4,100,0,0.0
smooth_nonlinear_rand,tanh,"8,4",100,6,0.06
