case,model,n,win_rate_vs_NN,median_improve_vs_NN_pct,mean_improve_vs_NN_pct
ALL,FullPR,2960,0.38885135135135135,-85.2598012956854,-439.20382004085064
ALL,Taylor-PR,982,0.0,-143955.76174241668,-225254981.8781461
ALL,LayerTaylor-PR,2960,0.056081081081081084,-1392.5868315330883,-392627031889.13824
paper_poly3,FullPR,892,0.5952914798206278,62.631053266750726,-429.02119874040653
paper_poly3,Taylor-PR,300,0.0,-122796.77358176545,-6668815.157554574
paper_poly3,LayerTaylor-PR,892,0.13228699551569506,-206.82148700326468,-138499.4875688498
paper_poly4,FullPR,888,0.36711711711711714,-96.9664441070046,-625.1367962630862
paper_poly4,Taylor-PR,296,0.0,-276671.49384316476,-2986679.218780707
paper_poly4,LayerTaylor-PR,888,0.04279279279279279,-439.7134072601698,-494850204.0237979
smooth_nonlinear,FullPR,282,0.5851063829787234,37.04686214340858,-451.911563297955
smooth_nonlinear,Taylor-PR,86,0.0,-2380.738317431266,-144246.37994524738
smooth_nonlinear,LayerTaylor-PR,282,0.0,-22676.331340648638,-75737400.43940258
smooth_nonlinear_rand,FullPR,898,0.14365256124721604,-169.09991013248413,-261.46532529268535
smooth_nonlinear_rand,Taylor-PR,300,0.0,-623175.428692064,-727677618.0654625
smooth_nonlinear_rand,LayerTaylor-PR,898,0.011135857461024499,-41060.17565195338,-1293669382986.8696
