group,relation,x,y,spearman_rho,p_value,n
ALL,激活改变总值(缩放) → NN-PR接近度(内),act_io_scaled_sum,shape_NN_FPR_in,0.1824219377838741,7.337761294931511e-24,3000
ALL,激活改变总值(未缩) → NN-PR接近度(内),act_io_unscaled_sum,shape_NN_FPR_in,-0.13936139160038846,1.7551895355530028e-14,3000
ALL,激活改变总值(缩放) → NN-PR接近度(外推),act_io_scaled_sum,shape_NN_FPR_ext,0.5663891582192184,3.782412491497535e-254,3000
ALL,激活改变总值(缩放) → 性能差距,act_io_scaled_sum,abs_rmse_gap,0.02385983062773106,0.1913832254541166,3000
ALL,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.5361063115850939,6.928594135128899e-223,3000
ALL,NN-PR(Full)接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8127024289669363,0.0,3000
ALL,NN-LayerTaylorPR接近度 → 性能差距,shape_NN_LTPR,abs_rmse_gap,0.35643428834286284,1.4355327973122684e-90,3000
ALL,激活改变总值(缩放) → NN-LayerTaylorPR接近度,act_io_scaled_sum,shape_NN_LTPR,0.6482849565710918,0.0,3000
ALL,NN-LayerTaylorPR ↔ NN-FullPR 接近度,shape_NN_LTPR,shape_NN_FPR_in,0.5513916144976783,2.8996709955526124e-238,3000
ALL,LayerTaylorPR-FullPR接近度 → 性能差距,shape_LTPR_FPR,abs_rmse_gap,0.5470246405269688,8.655358033111559e-234,3000
ALL,LayerTaylorPR-FullPR ↔ NN-FullPR 接近度,shape_LTPR_FPR,shape_NN_FPR_in,0.7214819216546141,0.0,3000
paper_poly4,激活改变总值(缩放) → NN-PR接近度(内),act_io_scaled_sum,shape_NN_FPR_in,-0.46917211472955367,1.8707329544673476e-50,900
paper_poly4,激活改变总值(未缩) → NN-PR接近度(内),act_io_unscaled_sum,shape_NN_FPR_in,-0.3837876207443435,5.854326983423719e-33,900
paper_poly4,激活改变总值(缩放) → NN-PR接近度(外推),act_io_scaled_sum,shape_NN_FPR_ext,0.32193442572408826,3.7807488767695066e-23,900
