case,case_label,p,activation,hidden,max_order,include_special,data_seed,init_seed,n,n_train,n_eval,nn_mse_vs_y,fpr_mse_vs_y,fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,budget,status,candidate_domain,n_candidates,budget_multiplier,n_parameters,dopt_mse_vs_nn,dopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,0,0,1000,750,250,0.0005555992829613388,5.689059602111271e-09,0.0005553285647158197,0.0011532742238299152,0.023495727764656683,0.0005,False,,skipped_nonclose,,,,,,,,,,,,,,,,,,,,,
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,0,1,1000,750,250,0.0005485750152729452,5.689059602111271e-09,0.0005482343510531179,0.0011382676889031835,0.023346252463879284,0.0005,False,,skipped_nonclose,,,,,,,,,,,,,,,,,,,,,
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,0,1000,750,250,6.356678932206705e-05,1.1902147542197664e-09,6.355526683673023e-05,0.00016608802239553795,0.007938378869477087,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.00877880702211268,0.016167287295116507,54.86330315803237,0.8459048150367547,0.0009298467569730704,0.0002510246749287773,0.002730363417953748,0.06453053300227361,0.0021015499744791452,0.0006060971735677336,0.00632590428604276,0.03903133723752382,-844.1133128958071,-5900152.137957533,-669.3030140348415,-40151.47273723083,1.4860703999875113
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,0,1000,750,250,6.356678932206705e-05,1.1902147542197664e-09,6.355526683673023e-05,0.00016608802239553795,0.007938378869477087,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,7.452339224614915e-05,0.00017554540791155042,5.134942671117679e-05,0.0001277000139153652,7.489713569589575e-05,6.243409123589158e-05,9.670846002577303e-05,9.522591379133214e-05,0.0001918748241911799,0.00016053438564016432,0.00024131149729947807,0.000237801832649071,0.4990090025125951,31.44006611992418,8.510452764433134,33.44618583825896,1.6054060999886133
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,0,1000,750,250,6.356678932206705e-05,1.1902147542197664e-09,6.355526683673023e-05,0.00016608802239553795,0.007938378869477087,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,6.276470199382234e-05,0.00015733491969516673,7.624479933222289e-05,0.00019822555238849102,6.616371273873129e-05,5.8886077526049265e-05,7.548229891855505e-05,6.912626211349663e-05,0.00016981118713038694,0.0001540972244960171,0.00019265222600062723,0.00017766649736886624,5.137273294095568,-15.236579351736225,7.347141048864174,-16.73291715244093,1.7327842999948189
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,0,1000,750,250,6.356678932206705e-05,1.1902147542197664e-09,6.355526683673023e-05,0.00016608802239553795,0.007938378869477087,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,6.213104657057848e-05,0.00015261507821197432,5.356482553468641e-05,0.00014011837389669773,6.107909959354603e-05,5.2182819810288e-05,6.961024460294037e-05,6.199419103997331e-05,0.00015783047508726445,0.00013547771342485663,0.00018035718434149603,0.00016038230693908625,-1.722269948366435,12.302529193887498,3.304429561151949,11.222231435832464,1.8691874999931315
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,1,1000,750,250,1.2835002053179778e-05,1.1902147542197664e-09,1.2857768495916403e-05,3.4080430401000165e-05,0.003548097620895849,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.00221273204356216,0.004185184115442407,0.00011378134662319933,0.00028034645873279286,0.0005878936946457896,0.00016156521692083407,0.0032475622751739945,0.17843733239638088,0.0013608144572871475,0.00038968204877528256,0.007390913899239977,0.04532788167085742,-276.38302021513397,80.64593179694614,-207.54994503701727,79.39862725358769,1.4526777999999467
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,1,1000,750,250,1.2835002053179778e-05,1.1902147542197664e-09,1.2857768495916403e-05,3.4080430401000165e-05,0.003548097620895849,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,2.072597280032666e-05,4.6669428499348834e-05,2.120011815195628e-05,5.473772760009273e-05,3.4494289447187544e-05,2.7592546763591728e-05,5.261674965548426e-05,4.650715260006408e-05,8.536190689800981e-05,6.910925220070402e-05,0.00013497659196990834,0.00011326379095786182,39.914771017216786,38.540209142690976,45.32757034691206,35.875697264479776,1.570474699998158
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,1,1000,750,250,1.2835002053179778e-05,1.1902147542197664e-09,1.2857768495916403e-05,3.4080430401000165e-05,0.003548097620895849,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,1.4877644349736662e-05,3.7919567091153496e-05,1.9353903729479573e-05,4.5438036637093195e-05,2.7142802701687727e-05,2.021642857123254e-05,3.564633644277141e-05,2.9999135930739028e-05,6.881310335833768e-05,5.11723341602582e-05,9.035296183885236e-05,7.556851310373865e-05,45.18751614102262,28.69600113817223,44.89484525397589,33.96891809910252,1.698745499990764
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,1,1,1000,750,250,1.2835002053179778e-05,1.1902147542197664e-09,1.2857768495916403e-05,3.4080430401000165e-05,0.003548097620895849,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,1.4555333539276844e-05,3.486913044208127e-05,1.5769354056131728e-05,4.048677460036564e-05,2.3146653193097364e-05,1.8954123460931435e-05,2.82371065735268e-05,2.487443258925929e-05,6.0001031209882196e-05,4.903688118873229e-05,7.185218499090765e-05,6.322436360705701e-05,37.11689799017062,31.8719906304452,41.88578139580656,32.52320204507177,1.8320188999932725
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,0,1000,750,250,4.05898827011697e-05,1.3846215251922883e-09,4.0713813730933785e-05,9.204916470431743e-05,0.0063338084659400815,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.0011414729597152209,0.0019883906000923834,7.097039394978492e-05,0.00016758839931410146,0.0015605295029692875,0.00033149172476308435,0.012575513921043793,0.014672639672691157,0.0032353799693322564,0.0007309086256450513,0.026826525319025542,0.02539526324082475,26.853484183202525,95.45215942314795,38.542285019377076,94.8201323831312,1.7828512000123737
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,0,1000,750,250,4.05898827011697e-05,1.3846215251922883e-09,4.0713813730933785e-05,9.204916470431743e-05,0.0063338084659400815,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,2.126871881275564e-05,4.324830781548517e-05,4.1303638495338036e-05,9.480994573175572e-05,7.947500993886922e-05,5.801573950657302e-05,0.0001327237733167449,0.00024304525250301866,0.0001763518931734157,0.00012556384553007673,0.00027883397298548464,0.0005192417350352022,73.23848234921245,48.029401283361814,75.47613068550564,46.23820361342857,1.946311700012302
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,0,1000,750,250,4.05898827011697e-05,1.3846215251922883e-09,4.0713813730933785e-05,9.204916470431743e-05,0.0063338084659400815,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,2.297742230849683e-05,4.153726283809249e-05,1.709483809066768e-05,3.411118360247659e-05,5.380658115608675e-05,3.743602500174945e-05,7.827841235695079e-05,6.316246500546613e-05,0.0001206319928937492,8.419809511885147e-05,0.00017663492580662714,0.00014034599449565607,57.29626039267957,68.22909442791487,65.56695960856928,71.72293785072324,2.143741100007901
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,0,1000,750,250,4.05898827011697e-05,1.3846215251922883e-09,4.0713813730933785e-05,9.204916470431743e-05,0.0063338084659400815,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,2.2458215519953244e-05,4.193667523170784e-05,1.762413135601933e-05,3.385280197072578e-05,4.2225552818504254e-05,2.8372414526530643e-05,5.755094997837271e-05,4.8090591955031815e-05,9.529935508369054e-05,6.37354519172903e-05,0.00012381306624763744,0.00010779607558060674,46.81368502981087,58.2619286672879,55.994796402473405,64.47740707059694,2.3376971000107005
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,1,1000,750,250,3.139044201816432e-05,1.3846215251922883e-09,3.139000759357415e-05,7.48787826169577e-05,0.005565506875149388,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.0002381606856858748,0.00040379255554161676,0.02365728243381608,0.04354882473491548,0.0025450435550691238,0.0006491670047036165,0.01913092633820493,0.08295595535143974,0.005114057846597329,0.0014225446212989899,0.03908097808793061,0.0607009456565865,90.64217642910216,-829.5433230090061,92.10426304015542,-751.5512737872327,2.109141000008094
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,1,1000,750,250,3.139044201816432e-05,1.3846215251922883e-09,3.139000759357415e-05,7.48787826169577e-05,0.005565506875149388,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,3.120202732578512e-05,7.553286389157231e-05,8.732224164072768e-05,0.0002085232370206071,0.00010351337918556088,6.527406669730928e-05,0.00015589279584551127,0.00012800174678227709,0.00022389280925306745,0.000147688436190306,0.0003555065780746862,0.00028598271483639326,69.8570102036264,15.641589205399745,66.26382770239081,6.864701141468118,2.2435619000025326
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,1,1000,750,250,3.139044201816432e-05,1.3846215251922883e-09,3.139000759357415e-05,7.48787826169577e-05,0.005565506875149388,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,3.107124720134439e-05,7.525343544189918e-05,2.6275979287778813e-05,6.336203480047181e-05,6.641705509978393e-05,4.510632662666206e-05,0.00010169245939280165,8.836617454222243e-05,0.00015333352088481658,0.00010520312180391619,0.00022637129642090568,0.00020027473408543926,53.217969157675775,60.4379037156914,50.921732568556095,58.676984370515385,2.390802000008989
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,2,1,1000,750,250,3.139044201816432e-05,1.3846215251922883e-09,3.139000759357415e-05,7.48787826169577e-05,0.005565506875149388,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,2.7395650931183305e-05,6.519959747704483e-05,2.998986042702221e-05,7.236730035996041e-05,5.234133632407839e-05,3.5285669730923794e-05,7.603624226783533e-05,5.951871279979195e-05,0.0001221721671095942,8.132453278266152e-05,0.00017637334900279025,0.0001359729631019968,47.65962649184296,42.703296222060565,46.63301878032686,40.76613186778989,2.5414608999999473
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,0,1000,750,250,5.8074933804164175e-06,4.718349877634736e-10,5.81935188898153e-06,1.3585054741774349e-05,0.002388152379029744,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,0.0006627730631032687,0.0011835890642680343,0.00033214447835084823,0.000715948896310757,0.0004834860119539194,0.00016942743879171335,0.0022872339109927444,0.11087908058058579,0.001021052405422723,0.0003457117830071792,0.004193216205614454,0.03983772057964949,-37.08215888703662,31.302153497978633,-15.918542278740347,29.881278129465937,1.996403700002702
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,0,1000,750,250,5.8074933804164175e-06,4.718349877634736e-10,5.81935188898153e-06,1.3585054741774349e-05,0.002388152379029744,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,8.746126143434323e-06,1.6490101952228015e-05,1.217786841866717e-05,2.572933553349873e-05,2.4767802076800134e-05,1.730568363681612e-05,4.154455221223142e-05,3.905163582648097e-05,5.442997322961421e-05,3.783355408263552e-05,8.75490373298216e-05,8.443979630996e-05,64.68751600842785,50.83185669480897,69.70400502924353,52.729472371851294,2.1314531000098214
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,0,1000,750,250,5.8074933804164175e-06,4.718349877634736e-10,5.81935188898153e-06,1.3585054741774349e-05,0.002388152379029744,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,6.062781810743585e-06,1.3113214911863265e-05,1.0274321192974519e-05,2.293603711644366e-05,1.740781861349464e-05,1.2971866687627968e-05,2.639603758920653e-05,2.3984865501202516e-05,3.8481766822920015e-05,2.9771475950764447e-05,5.974019688032555e-05,5.3146781851030664e-05,65.17207614948559,40.97869801440942,65.92356330153495,40.39765060167978,2.287474700002349
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,0,1000,750,250,5.8074933804164175e-06,4.718349877634736e-10,5.81935188898153e-06,1.3585054741774349e-05,0.002388152379029744,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,5.664456226461221e-06,1.3103058058689061e-05,7.542795630626077e-06,1.781761492972538e-05,1.2013510700219959e-05,1.027380308494518e-05,1.5070789818730635e-05,1.3523134633013135e-05,2.7504135178383176e-05,2.361393929868126e-05,3.407852789694603e-05,3.080234603599148e-05,52.84928471110855,37.21405991266172,52.359679831026334,35.21841419784359,2.4622237000003224
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,1,1000,750,250,5.029749445384368e-06,4.718349877634736e-10,5.036722363819198e-06,1.1339103847486306e-05,0.002220988527115745,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,9.928010936447551e-05,0.0001740707157738269,0.00010120688471250552,0.00020876663222737526,0.0007126021795890553,0.00022216266829995802,0.0051632716682372855,0.15842551028571922,0.0014439269297057305,0.0004766445216720837,0.010589246479960391,0.03740972010561766,86.06794755781851,85.79756172358753,87.94463125573105,85.54174536588762,1.8179820000077598
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,1,1000,750,250,5.029749445384368e-06,4.718349877634736e-10,5.036722363819198e-06,1.1339103847486306e-05,0.002220988527115745,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,1.8537459892263112e-05,3.579652650265331e-05,9.273034354039525e-06,1.923324198877981e-05,1.6690404210574352e-05,1.0808344360743736e-05,3.6503684562728524e-05,3.411421830630391e-05,3.6449134160539506e-05,2.3906188565466987e-05,8.162833973713228e-05,7.48383833938715e-05,-11.066572495101957,44.440924036072694,1.7904613454239997,47.232650564297714,1.957650399999693
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,1,1000,750,250,5.029749445384368e-06,4.718349877634736e-10,5.036722363819198e-06,1.1339103847486306e-05,0.002220988527115745,0.0005,True,78.0,used_close,training_data_region,750.0,3.0,26.0,8.442831893122747e-06,1.84578498125244e-05,9.843008184150115e-06,2.346066200149179e-05,9.827690378118566e-06,6.5137517762937745e-06,1.3498707631412e-05,1.4174646850858388e-05,2.186338130165734e-05,1.4802140836730737e-05,3.066049600539714e-05,3.1254006878601336e-05,14.091393111846678,-0.1558637425702254,15.576417216282941,-7.305734999523475,2.0951795000000857
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,3,1,1000,750,250,5.029749445384368e-06,4.718349877634736e-10,5.036722363819198e-06,1.1339103847486306e-05,0.002220988527115745,0.0005,True,104.0,used_close,training_data_region,750.0,4.0,26.0,7.150840571961867e-06,1.59501671871173e-05,1.0523312647233602e-05,2.2897743234590464e-05,8.324502324465847e-06,6.331085689061364e-06,1.0693023702443126e-05,9.38012680285668e-06,1.8680527203719168e-05,1.4338753711714835e-05,2.4552049944923483e-05,2.11543568989238e-05,14.098881912190343,-26.41371504342567,14.616075803568705,-22.57546580393982,2.245366799994372
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,0,1000,750,250,7.424021987390006e-06,6.101710016143707e-10,7.436414797420348e-06,1.651772723331576e-05,0.0027000042137158616,0.0005,True,26.0,used_close,training_data_region,750.0,1.0,26.0,1.986144138259304e-05,4.1857776259012306e-05,0.000315622531559814,0.0005637603723948883,0.0015911379805652638,0.0002563394474615896,0.011126777751827317,1601.647231211372,0.0033838658431428674,0.0005227752025330427,0.022729095923806644,0.07050823141255692,98.75174613231613,80.16372335932257,98.76301903800845,83.33975404086118,1.993379299994558
paper_poly3,Poly3,3,tanh,"16,8,4",3,True,4,0,1000,750,250,7.424021987390006e-06,6.101710016143707e-10,7.436414797420348e-06,1.651772723331576e-05,0.0027000042137158616,0.0005,True,52.0,used_close,training_data_region,750.0,2.0,26.0,1.0636644451466607e-05,2.2220139218200415e-05,1.7524973232658184e-05,2.8689616304290465e-05,2.11541531838888e-05,1.4330986588289665e-05,3.981817259421488e-05,7.377462898457302e-05,4.3611207053643775e-05,2.9176557611015243e-05,8.794001316372354e-05,0.0001545261669933639,49.718410569289176,17.155874402926386,49.04947439113843,34.21503727470572,2.140452699997695
