case,case_label,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,dopt_mse_vs_nn,dopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006268355498749557,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0006102433899076135,0.0011150862644483963,0.0006380615821583484,0.0014684518068363325,0.0005840033760522259,0.000488520930080897,0.0006444502302221574,0.0005761531289763666,0.001421529877125342,0.0012427547261346316,0.0015993554183360752,0.0014100794853555898,-4.493127083060054,-9.2564886305192,21.55731072614841,-3.3008050316801967,3.091445099998964
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006268355498749557,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.000586702545703823,0.0009747450770396812,0.0005072895512269238,0.0009786292715669455,0.00044599781376618134,0.000399383529114496,0.0005277088197048462,0.00048270792060328195,0.0011092748043826728,0.0010324544554277484,0.0013159887864463132,0.0012280641978309513,-31.548300820014212,-13.742609396035114,12.127718651092891,11.777562448867968,3.227086099999724
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0023103115075810295,0.002074949482491261,0.0002518328418744131,0.0006268355498749557,0.002514086516674889,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.00048419093303610553,0.0009200601064349777,0.0006280313017948587,0.0009394475840346743,0.0003765801049132134,0.00035076086693507444,0.0004127760160511359,0.0003966005324215804,0.0009857638842764105,0.0008660107949104595,0.0011155391166711114,0.0010313815426365152,-28.575813410985198,-66.77229986422005,6.6652652718822205,4.6985186798291165,3.3610084999818355
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005631449368873279,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0005031966047662578,0.0007528409018921409,0.00043596813939401555,0.0007833652389797693,0.0004774802333617474,0.00039895248139420943,0.0005448165199400958,0.0004964247402548339,0.0011944102485212426,0.0009826076151505285,0.0014590611883757412,0.0012596253219520177,-5.385850472479606,8.693992141928435,36.96965487158145,34.41405581125695,2.417253999999957
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005631449368873279,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.00040252175249248535,0.0007797887278644128,0.00035077970660904543,0.0008419053341377851,0.00038635832137611767,0.0003505690286638347,0.00046533185243183907,0.0004159777469527728,0.0009745685744523222,0.0008579214878257156,0.0011339210787091538,0.0010111452299304978,-4.183533839467293,9.208709324636665,19.986263839604067,13.6125095547114,2.551389400003245
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0022288404234433023,0.0020736183061059654,0.00020494146491332343,0.0005631449368873279,0.001673597207076806,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0003568924353093678,0.0007059916736394155,0.00032523274522794923,0.0007377416574552991,0.0003294780865642594,0.00030040221615169877,0.0003706752746514097,0.00034207582785213353,0.0008216986827033301,0.0007501354173237813,0.0009155376977016663,0.0008726046504536237,-8.320537802978183,1.2885049141142788,14.081440252921762,10.217495417154428,2.6856422999990173
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.0012956863482040345,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0019429538949879471,0.0021057637116103523,0.0013718566423610201,0.002073252507041859,0.0011590528254735678,0.0009371544467450044,0.0013735634006275836,0.001242040062385733,0.0026744503327463544,0.0022791077989225035,0.003217560422911594,0.0029090378614923212,-67.63290268449082,-18.360148235737626,21.263682266704354,22.47930418984952,2.377020599989919
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.0012956863482040345,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0012479783599291326,0.0016396931471084355,0.0007255205120579705,0.0015258799348359638,0.0008799522017478224,0.0007901772504938446,0.0010379890990801204,0.0009141288984114842,0.002091738628838459,0.0018429577171430829,0.002425054913953682,0.0021467184127541266,-41.823426028176414,17.550008896291065,21.6109926688615,27.052074585280096,2.5160184999986086
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0033371449412673967,0.0028851085344205685,0.00047124631996382663,0.0012956863482040345,0.004054820649316504,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.001485878753197151,0.0017509990812100682,0.0011373687555893232,0.0027138533165019067,0.0007585350777039303,0.0006942408930395686,0.0009209042692418052,0.0008173600883631702,0.0018027346015065454,0.001635412198115172,0.0020449050743759907,0.0019515252442133633,-95.8879420177739,-49.94280278139734,2.8698356515286148,-50.54092345228961,2.6464879999984987
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.003475192415226938,0.0028845358444883813,0.0005463008634299098,0.0012169947172372244,0.005242887565251875,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.00160578590214446,0.0020456439654818167,0.0017938016780894316,0.0023276913748748384,0.00134786046392331,0.0011431106086559571,0.0016599667905069309,0.0014349504780225729,0.003164369309007233,0.002821629747234041,0.0037550620635103654,0.003331903409347446,-19.135915409996436,-33.08511719885975,35.3538172785653,26.440590602077613,2.381125099986093
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.003475192415226938,0.0028845358444883813,0.0005463008634299098,0.0012169947172372244,0.005242887565251875,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0013199564484577396,0.0019939743749509574,0.000711251652777632,0.0017631816466977634,0.0010964136243770128,0.0009620786999165454,0.0013668559106843061,0.0012124504965409448,0.0025167932410674054,0.002244026083797243,0.0031225063746033333,0.002767991436061053,-20.388548546881186,35.12925806793322,20.77321480308464,29.943325580850072,2.524027399980696
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.003475192415226938,0.0028845358444883813,0.0005463008634299098,0.0012169947172372244,0.005242887565251875,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.001091820989252472,0.0017397810483930855,0.0007580812356029465,0.0018072961724488591,0.0009434703016892191,0.0008289693680420436,0.0011345608022794939,0.0009938500873251498,0.00225863788359632,0.0020738132038417637,0.0026946745952977375,0.0024334996740063104,-15.723938241367108,19.649698114964103,22.972112482992802,19.982916005500247,2.6541003999882378
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.006189266594083083,0.005283060327453595,0.000766307205489167,0.0021524651431752747,0.00598722838740913,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0016712135206179706,0.003139984370376635,0.003151041608895173,0.006449431103453123,0.0019243909071989414,0.0016488331207077955,0.0023810398073681404,0.002125618508071721,0.0046187350013654135,0.004052642440078096,0.005922513014687287,0.00515126339309892,13.156234818708672,-63.74228318723923,32.01635578901199,-39.63630954247234,2.4023642000101972
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.006189266594083083,0.005283060327453595,0.000766307205489167,0.0021524651431752747,0.00598722838740913,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0019625086928639853,0.0032812180195446318,0.0016045557370964836,0.003030921268111454,0.0014990522612541215,0.0013071200383950583,0.0017491756334740798,0.0015917015293178014,0.003724000415282522,0.0034047674081642493,0.004270431445852581,0.004050675332976922,-30.916629365685473,-7.038011853842699,11.889966336222823,18.611145807793562,2.5322703999991063
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.006189266594083083,0.005283060327453595,0.000766307205489167,0.0021524651431752747,0.00598722838740913,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.001517887955898415,0.0029093054992292027,0.0010158209289078835,0.0023902803362884167,0.0012559123596388934,0.0011292760631018914,0.001435972580972034,0.0013264246035831287,0.003273318162263875,0.0028940350882125255,0.0038557019678155625,0.0035147261224414577,-20.85938515127331,19.116893697904384,11.120601328375477,26.9768406919765,2.663189600018086
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.005670027546072153,0.005282828657575629,0.00039663129138312476,0.0010157816349845423,0.002616515346635137,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0010691873156917016,0.002110117552730828,0.0011930614048559533,0.002211072559252527,0.0011147567322488828,0.0009403911714133186,0.0013273963703734938,0.0011381899223368514,0.002770206726957809,0.0022295165391035265,0.0033055473552040335,0.002806441722699326,4.087835062027441,-7.02437315171899,23.828155776369766,20.183842680914765,2.3747005999903195
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.005670027546072153,0.005282828657575629,0.00039663129138312476,0.0010157816349845423,0.002616515346635137,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0011844708020337185,0.0019935892346759983,0.0007107721231676955,0.0015853507752183842,0.0008217432929225311,0.0007023334266850866,0.0009714168429986084,0.0008659379394882216,0.0021536893136104166,0.0018597046606806593,0.0026053136896639073,0.0022523195777079024,-44.14121931207331,13.504359659592291,7.433759267070355,26.389068042468814,2.5074098000186495
highdim_poly2,Quadratic,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.005670027546072153,0.005282828657575629,0.00039663129138312476,0.0010157816349845423,0.002616515346635137,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0009432189411166704,0.0018106474239317823,0.0008325227573334489,0.0017069629537010886,0.0006719551631333586,0.0005933156850042706,0.0007700401709881341,0.0006904010183458529,0.001690682817112844,0.0015187278374748678,0.002008522117062063,0.0018322392063388573,-40.36932713164908,-23.895581581865677,-7.095630570363299,-0.9629326342859518,2.6382100000046194
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009982796878936046,0.0008871083990383179,0.00014767058121053768,0.0003028025685266199,0.0018111993607284223,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0003405672594096921,0.0006813337436784974,0.0006014038539661718,0.0008294033025861248,0.00040556278174610767,0.0003172149731589656,0.0004894007104674705,0.000432331063336925,0.0008651647708698453,0.0007055208660248363,0.0010268420551375636,0.0009790738594549408,16.02600762737257,-48.28871904292871,21.248094395536047,4.133486416438974,2.2840128999960143
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009982796878936046,0.0008871083990383179,0.00014767058121053768,0.0003028025685266199,0.0018111993607284223,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.000328147653314491,0.0007252917581573875,0.000319367763065837,0.0006378651941448556,0.00026562240271631995,0.00023496671047197737,0.0003083708737500005,0.0002781545695948362,0.0006056297742889348,0.000507394143850535,0.0007541745673225964,0.0006879699793919351,-23.539148038257487,-20.23374527144691,-19.758272949665812,-5.322627985681209,2.424572199990507
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009982796878936046,0.0008871083990383179,0.00014767058121053768,0.0003028025685266199,0.0018111993607284223,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0002959497149652878,0.0006242151249812079,0.0003600656787754428,0.0006079267000976571,0.00021776194456640552,0.00020393296571964527,0.0002378803667469635,0.00023496525521392734,0.0005039512800396754,0.0004439628458530549,0.0005975628869879535,0.0005442491374453663,-35.905158063574916,-65.34830247423807,-23.864180865274186,-20.63203809102259,2.564523500012001
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009575069045082916,0.000887703966422378,0.00010044559584626877,0.0002292210712444244,0.0011492471404613604,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.00037492479930059723,0.0006317276393242234,0.00024990376575706393,0.0004946431537866515,0.0002586104228910777,0.00022994172183825098,0.00036480591160950425,0.0003141868262305148,0.0006118704134201655,0.00048200286490275904,0.0007897715827885854,0.0007424348758743435,-44.976677702781195,3.36670774390284,-3.2453319311620548,19.15883773138336,2.14660899998853
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009575069045082916,0.000887703966422378,0.00010044559584626877,0.0002292210712444244,0.0011492471404613604,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.00030439678015291413,0.0005634312081964355,0.00017756202177235533,0.00046399915330391317,0.00019224820784618536,0.00016984913640656255,0.00022618085154784117,0.0002021024835464248,0.000466063313172304,0.00039672765529294343,0.0005423932170868429,0.0004956339476431382,-58.33530182838271,7.639179703344863,-20.891559638407866,0.4428925877776027,2.283780300000217
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0009575069045082916,0.000887703966422378,0.00010044559584626877,0.0002292210712444244,0.0011492471404613604,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0002585115312088168,0.0005519507243141867,0.0001638856549567877,0.0003669560645134046,0.00015749625501194464,0.00014442420370990781,0.00018353239451439877,0.00016787474565907118,0.0003710187610739755,0.0003352219338598647,0.00043478685598069187,0.00040034035877864,-64.13820835880261,-4.056858332509869,-48.76625718776957,1.095011084833225,2.4224160999874584
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001279550550682143,0.001269973900645201,9.229084521278934e-05,0.0002254409285324312,0.00013411266559150425,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0004810081596349072,0.0006474679195331597,0.00032351858308065783,0.0005610660128456331,0.0003151657839255428,0.0002642078104506143,0.00036392109587657346,0.0003364950496129201,0.0007016882891448643,0.0005444631876399532,0.0009632375097893154,0.0007961290790464669,-52.62067907363454,-2.650287430023921,7.727130472389969,20.040561952459715,2.2474921999964863
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001279550550682143,0.001269973900645201,9.229084521278934e-05,0.0002254409285324312,0.00013411266559150425,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0005079383899245231,0.0006345421253398368,0.00021552811725512275,0.0003613909596973377,0.00026375909039060865,0.00023699976955753477,0.0003177228104835377,0.00028559770581945015,0.0005516110267962326,0.0004452960735820696,0.0006681105879933367,0.0006038174215971821,-92.57663846667886,18.285994641572056,-15.034343860975666,34.484456955782164,2.390148800011957
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001279550550682143,0.001269973900645201,9.229084521278934e-05,0.0002254409285324312,0.00013411266559150425,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.000495617057930555,0.000551035546136698,0.00017168498059549032,0.0003267607465082848,0.00019960429742551633,0.00016505029204948667,0.0002625225739344053,0.00022588190624323778,0.00045705746848994576,0.0003666991506100476,0.0005115085297598289,0.0004895351813042838,-148.29979330254537,13.987332532479309,-20.561545128502708,28.507732826715024,2.527921200002311
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001411290989177201,0.0012692973158889862,0.00020856248845197838,0.0004323455675877733,0.0019399539594157009,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0008573822139783642,0.0009119136360284474,0.000684717711372002,0.0009967583103765083,0.0005580305390838025,0.0005009621336652167,0.0007331176643221273,0.0006570071162266177,0.0013304531588674865,0.001086840586734548,0.0016289248766859774,0.0014540941587883208,-53.64431763645939,-22.70255181664426,31.45841851323123,25.081292510517788,2.1461645000090357
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001411290989177201,0.0012692973158889862,0.00020856248845197838,0.0004323455675877733,0.0019399539594157009,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0009919923817948686,0.0009473285742988206,0.00032023646076283354,0.0008509526093094163,0.00047528442926240814,0.0003782915271293258,0.0005641977407102623,0.0004932847654177689,0.0009701846525357032,0.0008486266779521705,0.0011470759230112035,0.0010563968294629916,-108.71552289948512,32.62214348999248,2.355848258075953,12.289623724170298,2.281971499993233
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.001411290989177201,0.0012692973158889862,0.00020856248845197838,0.0004323455675877733,0.0019399539594157009,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0006019280823683079,0.0008322933821510141,0.00029250744176724655,0.0005945115327513045,0.00036651706763125613,0.00032945826682994543,0.00047398605764235505,0.00041021945867892896,0.0008431422412368187,0.000769281702602683,0.001071000436966549,0.0009569871751292407,-64.22920936765024,20.192681978583565,1.2867175377063584,29.488584052056726,2.4164542999933474
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0015145343962269958,0.0014184897951211519,0.00015938563772019564,0.00029361170403906787,0.0012541756705972476,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.0006190063153831271,0.0009741247903063256,0.0006798320633981689,0.0014699475468136452,0.0003461264955836109,0.0002922113818674956,0.00041695987149510574,0.0003681749014604414,0.0007225382955034669,0.0005982104789437901,0.0010113243426764574,0.0008118116835569214,-78.83817716393193,-96.41144843647125,-34.81981458540582,-103.4421643754372,2.1586441000108607
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0015145343962269958,0.0014184897951211519,0.00015938563772019564,0.00029361170403906787,0.0012541756705972476,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0005595014848067961,0.0007419186731030033,0.00024151620810934188,0.0005555132289130953,0.00028605760034619457,0.0002542821881660037,0.00036083270994936015,0.00031158863959294134,0.0006241780017086744,0.0005031298684926556,0.0007609636751702544,0.0006902676024736745,-95.59049790310497,15.570777417886296,-18.863316405258793,11.00083191134752,2.2927180000115186
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.0015145343962269958,0.0014184897951211519,0.00015938563772019564,0.00029361170403906787,0.0012541756705972476,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,0.0005173814304738568,0.0007214070116205384,0.00022555291637736287,0.0003532394678494099,0.0002605099879697232,0.00023963603892842138,0.0003055760305958674,0.00027381601560365993,0.0006071108962133766,0.0005063561794975029,0.0007488796318969685,0.000615909916902756,-98.60329905431016,13.418706846826575,-18.826233579407045,41.81631888793188,2.4305963000224438
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.00160423581246072,0.0014202100409272122,0.00026492136428953923,0.0006614208789033603,0.0023672384453753068,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,0.001029227142417778,0.001347220043668506,0.0006355473706322373,0.0015079954031934615,0.0006132218010742471,0.0005049926378295492,0.0008814058781313108,0.0007710523170712336,0.0013303753568547406,0.001101268588018018,0.001705194062497681,0.0016425990411248809,-67.83929413709187,-3.640700561995688,-1.266160465689128,-13.351122705598543,2.409149499988416
highdim_smooth,Smooth,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,30,31,0.00160423581246072,0.0014202100409272122,0.00026492136428953923,0.0006614208789033603,0.0023672384453753068,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,0.0012356328703071841,0.0013689569335582235,0.00045973298227856515,0.0009799628612310587,0.0005046328191003486,0.0004227173155533595,0.0005899523049364925,0.0005150790642330982,0.0011413893058206648,0.0008894347680629584,0.0013915045575336785,0.0011821738586953584,-144.85781018167842,8.897526106571938,-19.93777465559276,14.142978540835342,2.54380700000911
