activation,p,case,case_label,budget,budget_multiplier,n_design_params,n_fullpr_features,shape_nn_fpr_mean,shape_nn_fpr_std,shape_nn_fpr_count,abs_rmse_gap_mean,abs_rmse_gap_std,abs_rmse_gap_count,full_fpr_mse_vs_nn_mean,full_fpr_mse_vs_nn_std,full_fpr_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,dopt_shape_vs_nn_mean,dopt_shape_vs_nn_std,dopt_shape_vs_nn_count,dopt_gain_vs_random_median_pct_mean,dopt_gain_vs_random_median_pct_std,dopt_gain_vs_random_median_pct_count,dopt_shape_gain_vs_random_median_pct_mean,dopt_shape_gain_vs_random_median_pct_std,dopt_shape_gain_vs_random_median_pct_count,aopt_mse_vs_nn_mean,aopt_mse_vs_nn_std,aopt_mse_vs_nn_count,aopt_shape_vs_nn_mean,aopt_shape_vs_nn_std,aopt_shape_vs_nn_count,aopt_gain_vs_random_median_pct_mean,aopt_gain_vs_random_median_pct_std,aopt_gain_vs_random_median_pct_count,aopt_shape_gain_vs_random_median_pct_mean,aopt_shape_gain_vs_random_median_pct_std,aopt_shape_gain_vs_random_median_pct_count,iopt_mse_vs_nn_mean,iopt_mse_vs_nn_std,iopt_mse_vs_nn_count,iopt_shape_vs_nn_mean,iopt_shape_vs_nn_std,iopt_shape_vs_nn_count,iopt_gain_vs_random_median_pct_mean,iopt_gain_vs_random_median_pct_std,iopt_gain_vs_random_median_pct_count,iopt_shape_gain_vs_random_median_pct_mean,iopt_shape_gain_vs_random_median_pct_std,iopt_shape_gain_vs_random_median_pct_count,latin_mse_vs_nn_mean,latin_mse_vs_nn_std,latin_mse_vs_nn_count,latin_shape_vs_nn_mean,latin_shape_vs_nn_std,latin_shape_vs_nn_count,latin_gain_vs_random_median_pct_mean,latin_gain_vs_random_median_pct_std,latin_gain_vs_random_median_pct_count,latin_shape_gain_vs_random_median_pct_mean,latin_shape_gain_vs_random_median_pct_std,latin_shape_gain_vs_random_median_pct_count,shape_nn_fpr_se,shape_nn_fpr_ci95,abs_rmse_gap_se,abs_rmse_gap_ci95,full_fpr_mse_vs_nn_se,full_fpr_mse_vs_nn_ci95,random_mse_median_se,random_mse_median_ci95,dopt_mse_vs_nn_se,dopt_mse_vs_nn_ci95,dopt_shape_vs_nn_se,dopt_shape_vs_nn_ci95,dopt_gain_vs_random_median_pct_se,dopt_gain_vs_random_median_pct_ci95,dopt_shape_gain_vs_random_median_pct_se,dopt_shape_gain_vs_random_median_pct_ci95,aopt_mse_vs_nn_se,aopt_mse_vs_nn_ci95,aopt_shape_vs_nn_se,aopt_shape_vs_nn_ci95,aopt_gain_vs_random_median_pct_se,aopt_gain_vs_random_median_pct_ci95,aopt_shape_gain_vs_random_median_pct_se,aopt_shape_gain_vs_random_median_pct_ci95,iopt_mse_vs_nn_se,iopt_mse_vs_nn_ci95,iopt_shape_vs_nn_se,iopt_shape_vs_nn_ci95,iopt_gain_vs_random_median_pct_se,iopt_gain_vs_random_median_pct_ci95,iopt_shape_gain_vs_random_median_pct_se,iopt_shape_gain_vs_random_median_pct_ci95,latin_mse_vs_nn_se,latin_mse_vs_nn_ci95,latin_shape_vs_nn_se,latin_shape_vs_nn_ci95,latin_gain_vs_random_median_pct_se,latin_gain_vs_random_median_pct_ci95,latin_shape_gain_vs_random_median_pct_se,latin_shape_gain_vs_random_median_pct_ci95
identity,5,highdim_poly2,Quadratic,62.0,2.0,31,30,3.599399311267581e-14,2.1017507735130563e-14,6,5.0440159872951656e-09,4.889902889156585e-09,6,1.5107852081827693e-14,1.0365865184294583e-14,6,2.4031912418756398e-08,1.640073576281297e-08,6,5.230569234806898e-11,3.1297559425322723e-11,6,1.0421078585110456e-10,6.935660382501749e-11,6,99.77498573787712,0.05692439698290974,6,99.81609862033463,0.08635550333780305,6,1.0473109522600452e-10,8.010887716504861e-11,6,1.8425544998297429e-10,1.2437993181448048e-10,6,99.61644693459067,0.11215632343545495,6,99.69594466046959,0.08120149345027798,6,3.4826080760215404e-10,2.351729698916517e-10,6,7.495760328435022e-10,4.978509841479149e-10,6,98.65353298418334,0.4360770084726944,6,98.72716714586856,0.25415504404232364,6,8.360647320348037e-10,9.043016033056702e-10,6,1.5131853313901423e-09,1.2941996662369173e-09,6,96.68061453052117,1.9205942840306915,6,96.51903801732595,3.4293287954691802,6,8.58036160267807e-15,1.6817508741249018e-14,1.9962944950324807e-09,3.912737210263662e-09,4.2318467406671406e-15,8.294419611707595e-15,6.6955723375179366e-09,1.3123321781535156e-08,1.2777175131079165e-11,2.5043263256915165e-11,2.8314714943942815e-11,5.5496841290127914e-11,0.023239287753959188,0.045549003997760004,0.035254486609804514,0.06909879375521685,3.270431215361069e-11,6.410045182107696e-11,5.077789453127351e-11,9.952467328129608e-11,0.04578762730723658,0.0897437495221837,0.03315037088418856,0.06497472693300958,9.600896292157635e-11,1.8817756732628965e-10,2.0324681318413804e-10,3.9836375384091057e-10,0.178027693219573,0.3489342787103631,0.10375836224304645,0.20336638999637105,3.691795836132703e-10,7.235919838820098e-10,5.283548012601237e-10,1.0355754104698424e-09,0.7840793331301968,1.5367954929351857,1.4000176181887916,2.744034531650031
identity,5,highdim_poly2,Quadratic,93.0,3.0,31,30,3.599399311267581e-14,2.1017507735130563e-14,6,5.0440159872951656e-09,4.889902889156585e-09,6,1.5107852081827693e-14,1.0365865184294583e-14,6,8.197392545135424e-09,6.862407216307852e-09,6,1.7190362187938543e-11,1.234206548189295e-11,6,3.9763672875949314e-11,2.9965079792697137e-11,6,99.71722146655232,0.16132062945443662,6,99.74938090249883,0.1333903221665523,6,4.960478625822638e-11,4.1973178815759805e-11,6,7.666388700245143e-11,5.6469115222386176e-11,6,99.43418255741774,0.11392624470843328,6,99.58473679232138,0.05255284549362353,6,2.582405496528066e-10,1.81295527497457e-10,6,5.662618045938399e-10,4.1987356743005716e-10,6,96.65639062067333,0.8439592869383375,6,96.72281415883782,0.7858960936188985,6,6.728574512487986e-11,5.5051620673838037e-11,6,1.357254779352587e-10,1.0675263973338669e-10,6,99.0516921458805,0.32091380130618424,6,99.08361177344653,0.4653366986334295,6,8.58036160267807e-15,1.6817508741249018e-14,1.9962944950324807e-09,3.912737210263662e-09,4.2318467406671406e-15,8.294419611707595e-15,2.801566014524558e-09,5.491069388468134e-09,5.038627133775851e-12,9.875709182200668e-12,1.2233192598981854e-11,2.3977057494004435e-11,0.06585887119132806,0.129083387535003,0.054456370988918916,0.10673448713828107,1.7135478496867973e-11,3.3585537853861226e-11,2.305341975354606e-11,4.518470271695028e-11,0.04651019464118561,0.09115998149672379,0.021454609331783336,0.04205103429029534,7.40135891695811e-11,1.4506663477237895e-10,1.7141266611428437e-10,3.3596882558399734e-10,0.34454493611367715,0.6753080747828072,0.32084073670214336,0.628847843936201,2.247473002735944e-11,4.40504708536245e-11,4.3581582673659776e-11,8.541990204037316e-11,0.13101251076950954,0.2567845211082387,0.18997291170719544,0.37234690694610306
identity,5,highdim_poly2,Quadratic,124.0,4.0,31,30,3.599399311267581e-14,2.1017507735130563e-14,6,5.0440159872951656e-09,4.889902889156585e-09,6,1.5107852081827693e-14,1.0365865184294583e-14,6,2.5259928611874945e-09,2.112474982240455e-09,6,1.0031651917386621e-11,8.048602061152695e-12,6,2.36691033005681e-11,2.0320387333299498e-11,6,99.45940474676992,0.3466396991051975,6,99.4867113509074,0.3564317907711955,6,3.8411140430636837e-11,3.050129848668886e-11,6,5.0711855986145814e-11,3.7030018917255506e-11,6,98.64197264930509,0.569756988092414,6,99.14509035343696,0.21292536709047916,6,2.1530485583270231e-10,1.5274533746608428e-10,6,4.736557937773574e-10,3.4452962450948855e-10,6,90.98847533439755,1.960255032846161,6,91.2851205795858,1.3385563594954202,6,2.1214010241772396e-11,1.2790429357401227e-11,6,4.4360898366782725e-11,2.9063706353151426e-11,6,98.73763477605728,1.01282937849186,6,99.06083944368362,0.5074155402478648,6,8.58036160267807e-15,1.6817508741249018e-14,1.9962944950324807e-09,3.912737210263662e-09,4.2318467406671406e-15,8.294419611707595e-15,8.624143001473453e-10,1.6903320282887968e-09,3.2858280320895122e-12,6.440222942895444e-12,8.295763390383056e-12,1.625969624515079e-11,0.14151506456660476,0.2773695265505453,0.1455126692493139,0.28520483172865524,1.245210296411874e-11,2.440612180967273e-11,1.511744191881407e-11,2.9630186160875575e-11,0.2326023163685676,0.4559005400823925,0.0869264171110786,0.17037577753771405,6.235802289685476e-11,1.2222172487783532e-10,1.4065363022015535e-10,2.7568111523150446e-10,0.8002707660326289,1.5685307014239527,0.5464633454535374,1.071068157088933,5.221670919457858e-12,1.02344750021374e-11,1.1865208433217785e-11,2.3255808529106857e-11,0.41348586230087875,0.8104322901097223,0.2071515268609883,0.4060169926475371
identity,5,highdim_smooth,Smooth,62.0,2.0,31,30,1.0071391103884938e-13,4.8202110688585064e-14,6,1.8158129305723136e-08,1.5468113113966304e-08,6,4.4760194295529926e-14,1.0015975397716256e-14,6,6.119756995701478e-08,1.5701470501113056e-08,6,4.6256207605710435e-10,5.810664997815667e-10,6,3.903635106472274e-10,3.711912506016088e-10,6,99.26428722090789,0.9147733855594411,6,99.71794679892092,0.26443529399303417,6,3.4515524566892156e-10,3.1753255245083123e-10,6,4.067426345208042e-10,3.425075427875141e-10,6,99.44553533114656,0.4929805831166972,6,99.70237204167307,0.24100891036368685,6,2.122737424944262e-09,2.1106281908337164e-09,6,4.372207326572292e-09,4.059622220004338e-09,6,96.88380047788077,2.966596381286899,6,97.21023987096585,2.2925320792074064,6,2.162405027977468e-09,2.14340117291753e-09,6,2.6423661973805947e-09,2.113624181787096e-09,6,96.58183296329916,3.336266179531478,6,98.06974588317571,1.5047803510398332,6,1.9678429285364753e-14,3.8569721399314915e-14,6.314830735478405e-09,1.2377068241537673e-08,4.089004833445772e-15,8.014449473553713e-15,6.41009848984818e-09,1.2563793040102433e-08,2.3721940518164526e-10,4.649500341560247e-10,1.5153819349325016e-10,2.970148592467703e-10,0.3734546708164821,0.7319711548003048,0.10795525671096523,0.21159230315349184,1.2963212170467878e-10,2.540789585411704e-10,1.3982811881398104e-10,2.7406311287540283e-10,0.20125848028926996,0.39446662136696914,0.09839147564253356,0.19284729225936578,8.616603507127008e-10,1.6888542873968935e-09,1.6573338312458835e-09,3.2483743092419316e-09,1.211107901156659,2.3737714862670516,0.9359223021699892,1.8344077122531788,8.750398646218206e-10,1.7150781346587682e-09,8.628834588976633e-10,1.69125157943942e-09,1.3620249643261295,2.6695689300792136,0.6143240058356236,1.2040750514378222
identity,5,highdim_smooth,Smooth,93.0,3.0,31,30,1.0071391103884938e-13,4.8202110688585064e-14,6,1.8158129305723136e-08,1.5468113113966304e-08,6,4.4760194295529926e-14,1.0015975397716256e-14,6,1.6633260945097116e-08,6.5858590371360204e-09,6,1.7370121054293028e-10,2.1973332976144654e-10,6,1.6879658622522402e-10,1.5895508435595176e-10,6,98.59576929458824,1.9292631393581032,6,99.41585539139595,0.6407565617167766,6,1.3672950766718414e-10,5.888540709224308e-11,6,1.85982793246763e-10,9.315499265425546e-11,6,99.06372170954266,0.6206254529119742,6,99.39863759445312,0.4228719640159838,6,1.4748254473880066e-09,1.505532488266077e-09,6,3.0716978585179844e-09,2.964344301841539e-09,6,92.52068480699745,5.698336066091798,6,92.36354208410064,5.662628234249797,6,3.76657729629196e-10,2.506239017361313e-10,6,7.084593342280956e-10,4.885191907082973e-10,6,97.13587841539292,2.69364009366135,6,97.46376272972525,2.2924964388045597,6,1.9678429285364753e-14,3.8569721399314915e-14,6.314830735478405e-09,1.2377068241537673e-08,4.089004833445772e-15,8.014449473553713e-15,2.6886656931467634e-09,5.269784758567656e-09,8.970575623304283e-11,1.7582328221676396e-10,6.489314144885645e-11,1.2719055723975864e-10,0.7876183784978912,1.5437320218558668,0.26158777092437685,0.5127120310117786,2.4039866778676873e-11,4.711813888620667e-11,3.8030366499273514e-11,7.453951833857609e-11,0.2533692801696742,0.4966037891325614,0.17263675639462162,0.33836804253345837,6.146310645724319e-10,1.2046768865619665e-09,1.2101884935731018e-09,2.3719694474032793e-09,2.326335957470551,4.55961847664228,2.311758296164883,4.531046260483171,1.023167794331588e-10,2.0054088768899124e-10,1.9943712446545226e-10,3.9089676395228645e-10,1.0996739633621662,2.1553609681898456,0.9359077520364555,1.8343791939914527
identity,5,highdim_smooth,Smooth,124.0,4.0,31,30,1.0071391103884938e-13,4.8202110688585064e-14,6,1.8158129305723136e-08,1.5468113113966304e-08,6,4.4760194295529926e-14,1.0015975397716256e-14,6,6.034898876503502e-09,1.3449911095393027e-09,6,9.65580553566298e-11,1.220007874072864e-10,6,9.593389766920727e-11,1.0218086594050042e-10,6,98.04194333552137,2.6756470480764074,6,99.22452401148034,0.8772897743225053,6,8.574829045939582e-11,2.2604933819918325e-11,6,1.1118130152877671e-10,4.104050601812167e-11,6,98.53504154386432,0.4822678850210663,6,99.15754636872494,0.3765676790653692,6,1.0869617523235208e-09,1.0742944005221346e-09,6,2.328015558156845e-09,2.212464860747043e-09,6,83.47508004366601,13.849049229824947,6,83.91866980568012,13.74322795157328,6,5.1839871343040474e-11,2.255402995649804e-11,6,7.594029427195636e-11,3.206205632278614e-11,6,99.11355943877267,0.37517623830559954,6,99.43913020141065,0.21588218881120674,6,1.9678429285364753e-14,3.8569721399314915e-14,6.314830735478405e-09,1.2377068241537673e-08,4.089004833445772e-15,8.014449473553713e-15,5.490903211585147e-10,1.0762170294706888e-09,4.980661289426987e-11,9.762096127276893e-11,4.171516383832647e-11,8.176172112311988e-11,1.092328333261875,2.140963533193275,0.358152050608591,0.7019780191928384,9.228425588030418e-12,1.808771415253962e-11,1.6754716421670053e-11,3.2839244186473306e-11,0.19688503960547318,0.3858946776267274,0.15373311122238162,0.30131689799586797,4.3857885246806205e-10,8.596145508374016e-10,9.032349971113492e-10,1.7703405943382443e-09,5.653850672625914,11.081547318346791,5.61064931668497,10.996872660702541,9.20764417281108e-12,1.8046982578709717e-11,1.3089279682533533e-11,2.5654988177765725e-11,0.1531650579109239,0.30020351350541086,0.08813353452377205,0.1727417276665932
identity,5,highdim_strong,Strong nonlinear,62.0,2.0,31,30,9.039658561915263e-14,3.511087682654207e-14,6,3.17566767465971e-08,2.015807958496007e-08,6,3.938394202334356e-14,1.1252173106961345e-14,6,5.624749929864528e-08,2.5292038800728275e-08,6,3.184130850318581e-10,3.8937959677830665e-10,6,2.8792599697170514e-10,2.5537561138700114e-10,6,99.40356738977518,0.7364522449734134,6,99.75014689652052,0.21643314964859367,6,2.4704162859669086e-10,1.575939381718123e-10,6,2.950519664369036e-10,1.7562986216721032e-10,6,99.53171543118019,0.29084651374466697,6,99.73258681779237,0.15252733076196812,6,2.3978019538484763e-09,2.5208180491155613e-09,6,4.927383016118133e-09,4.76722364032425e-09,6,96.45340814300772,2.6152113463166646,6,96.54696694954093,2.0906263670662644,6,2.024010250935256e-09,1.5743704266409534e-09,6,2.5226595599053595e-09,1.5435940248226292e-09,6,96.2994932970626,2.5683011766787516,6,97.83112209562456,1.1962963071945418,6,1.4333955441123065e-14,2.8094552664601206e-14,8.229501529594446e-09,1.6129822998005114e-08,4.593680434920424e-15,9.00361365244403e-15,1.032543160274301e-08,2.02378459413763e-08,1.58963554726252e-10,3.115685672634539e-10,1.0425665677490706e-10,2.0434304727881782e-10,0.3006553700186701,0.5892845252365934,0.0883584633437478,0.1731825881537457,6.43374558461101e-11,1.261014134583758e-10,7.170059098416751e-11,1.4053315832896831e-10,0.11873759202363474,0.23272568036632407,0.062269022032589674,0.12204728318387575,1.0291196591218783e-09,2.0170745318788813e-09,1.946210901421289e-09,3.814573366785727e-09,1.0676555613354761,2.092604900217533,0.8534946403534791,1.672849495092819,6.42734035233032e-10,1.2597587090567426e-09,6.301696218040722e-10,1.2351324587359814e-09,1.0485045647754283,2.0550689469598393,0.48838592230040406,0.9572364077087919
identity,5,highdim_strong,Strong nonlinear,93.0,3.0,31,30,9.039658561915263e-14,3.511087682654207e-14,6,3.17566767465971e-08,2.015807958496007e-08,6,3.938394202334356e-14,1.1252173106961345e-14,6,1.5340655425660887e-08,9.099327138897698e-09,6,1.2370760803426567e-10,1.5498905973113872e-10,6,1.2822919055242266e-10,1.1739913846970359e-10,6,98.8654575886087,1.527522372668348,6,99.52556090785326,0.4806280818166349,6,1.0399910779884843e-10,3.6070347541071115e-11,6,1.4283058763965608e-10,4.246594314868994e-11,6,99.23395387292472,0.2595979764389629,6,99.50768413238698,0.20700853767513366,6,1.6805903223216117e-09,1.7775905156473009e-09,6,3.5155175110328774e-09,3.4517646191636898e-09,6,91.2495111433343,5.007149116686924,6,91.20464021689185,4.604202938419642,6,3.010703522855804e-10,1.7068762569114598e-10,6,5.476773976466591e-10,3.796052517699757e-10,6,97.40928144397515,2.1031891610487987,6,97.9058921234991,1.7309875568373314,6,1.4333955441123065e-14,2.8094552664601206e-14,8.229501529594446e-09,1.6129822998005114e-08,4.593680434920424e-15,9.00361365244403e-15,3.7147847488264194e-09,7.280978107699782e-09,6.327401867583893e-11,1.240170766046443e-10,4.792799758218683e-11,9.393887526108619e-11,0.623608397287157,1.2222724586828277,0.1962155927505669,0.3845825617911111,1.4725657720079688e-11,2.886228913135619e-11,1.7336648693388267e-11,3.3979831439041e-11,0.1059804300890848,0.20772164297460619,0.0845108816172975,0.1656413279699031,7.256982891577874e-10,1.4223686467492632e-09,1.4091770048572238e-09,2.7619869295201584e-09,2.0441600669850786,4.0065537312907535,1.879657978558514,3.6841296379746873,6.96829313917461e-11,1.3657854552782236e-10,1.5497319508619692e-10,3.03747462368946e-10,0.8586233795202984,1.6829018238597848,0.7066727108930595,1.3850785133503967
identity,5,highdim_strong,Strong nonlinear,124.0,4.0,31,30,9.039658561915263e-14,3.511087682654207e-14,6,3.17566767465971e-08,2.015807958496007e-08,6,3.938394202334356e-14,1.1252173106961345e-14,6,5.4878580073994295e-09,2.0865975498456045e-09,6,7.062931256147836e-11,8.970186021971414e-11,6,7.57614305393725e-11,7.674672294932005e-11,6,98.43272928451792,2.0966490375857805,6,99.27713175657156,0.8445253884672387,6,7.102735053748302e-11,2.9790804240825306e-11,6,9.123056386436295e-11,2.3028759598011198e-11,6,98.7126205732327,0.13629923622217283,6,99.22287344666653,0.275608305721082,6,1.204232686880165e-09,1.2055477015129714e-09,6,2.6148263322862533e-09,2.4182400899850627e-09,6,81.64714893405197,12.413597798363607,6,82.17855250555833,10.091792116934808,6,5.969287756326493e-11,4.099110248773097e-11,6,7.401031053239864e-11,3.859665832379677e-11,6,98.82567398971071,0.7999034792951264,6,99.39664088118701,0.24786940681079128,6,1.4333955441123065e-14,2.8094552664601206e-14,8.229501529594446e-09,1.6129822998005114e-08,4.593680434920424e-15,9.00361365244403e-15,8.518498826105534e-10,1.6696257699166846e-09,3.66206310861267e-11,7.177643692880833e-11,3.1331718442763635e-11,6.141016814781673e-11,0.8559533852970986,1.6776686351823134,0.34477604609508006,0.6757610503463569,1.2162044902860532e-11,2.3837608009606644e-11,9.40145173739135e-12,1.8426845405287044e-11,0.0556439301792323,0.1090621031512953,0.11251661964827346,0.22053257451061598,4.921627882153101e-10,9.646390649020078e-10,9.872423826675802e-10,1.9349950700284573e-09,5.0678300796879165,9.932946956188315,4.119956879455325,8.075115483732436,1.6734547514845173e-11,3.2799713129096535e-11,1.575701977830786e-11,3.088375876548341e-11,0.3265592279583314,0.6400560867983296,0.10119226158879735,0.19833683271404282
identity,10,highdim_poly2,Quadratic,172.0,2.0,86,85,1.8140466703625652e-14,9.513819028179164e-15,6,2.802102309444147e-09,3.5040022670357837e-09,6,1.22622810579932e-14,4.725746822714063e-15,6,2.2062669843059026e-09,9.910312793141595e-10,6,1.3176505377123279e-11,3.8124567800076624e-12,6,1.5645632597774317e-11,4.952305571226289e-12,6,99.3448308164168,0.15662731819793402,6,99.39746868375592,0.18052427836584603,6,2.6213214701081765e-11,1.0792099389232709e-11,6,3.153653768672088e-11,1.9046273213960846e-11,6,98.71531514043552,0.3747760359440511,6,98.84535500497708,0.5470277768943977,6,1.9881897581679032e-10,1.091716016311347e-10,6,2.6582860701582984e-10,1.579566843530321e-10,6,90.74663337590216,3.089259682920345,6,90.3103150174946,4.403004119247121,6,2.0485906619376858e-10,8.040018797415764e-11,6,2.9008409472990577e-10,1.7625986046243436e-10,6,88.49464169122514,6.485042166900131,6,87.21847170247158,8.934833675289296,6,3.884000354036715e-15,7.612640693911961e-15,1.4305029352988592e-09,2.803785753185764e-09,1.929278061538049e-15,3.781385000614575e-15,4.0458682557622075e-10,7.929901781293926e-10,1.5564289629054922e-12,3.050600767294765e-12,2.0217702833077973e-12,3.9626697552832825e-12,0.06394283489424607,0.1253279563927223,0.07369872803007918,0.1444495069389552,4.405856126170354e-12,8.635478007293894e-12,7.775608479307181e-12,1.5240192619442074e-11,0.15300167598098216,0.29988328492272504,0.22332315475338535,0.4377133833166353,4.456911973311262e-11,8.735547467690073e-11,6.448554635446538e-11,1.2639167085475213e-10,1.2611849843511664,2.471922569328286,1.797518904587984,3.523137052992449,3.28232392934231e-11,6.433354901510928e-11,7.195778671118787e-11,1.4103726195392823e-10,2.6475073782230445,5.189114461317167,3.6476305735158094,7.149355924090987
