activation,dataset_family,p,case,case_label,budget,budget_multiplier,n_design_params,n_fullpr_features,shape_nn_fpr_mean,shape_nn_fpr_std,shape_nn_fpr_count,abs_rmse_gap_mean,abs_rmse_gap_std,abs_rmse_gap_count,full_fpr_mse_vs_nn_mean,full_fpr_mse_vs_nn_std,full_fpr_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,dopt_shape_vs_nn_mean,dopt_shape_vs_nn_std,dopt_shape_vs_nn_count,dopt_gain_vs_random_median_pct_mean,dopt_gain_vs_random_median_pct_std,dopt_gain_vs_random_median_pct_count,dopt_shape_gain_vs_random_median_pct_mean,dopt_shape_gain_vs_random_median_pct_std,dopt_shape_gain_vs_random_median_pct_count,aopt_mse_vs_nn_mean,aopt_mse_vs_nn_std,aopt_mse_vs_nn_count,aopt_shape_vs_nn_mean,aopt_shape_vs_nn_std,aopt_shape_vs_nn_count,aopt_gain_vs_random_median_pct_mean,aopt_gain_vs_random_median_pct_std,aopt_gain_vs_random_median_pct_count,aopt_shape_gain_vs_random_median_pct_mean,aopt_shape_gain_vs_random_median_pct_std,aopt_shape_gain_vs_random_median_pct_count,iopt_mse_vs_nn_mean,iopt_mse_vs_nn_std,iopt_mse_vs_nn_count,iopt_shape_vs_nn_mean,iopt_shape_vs_nn_std,iopt_shape_vs_nn_count,iopt_gain_vs_random_median_pct_mean,iopt_gain_vs_random_median_pct_std,iopt_gain_vs_random_median_pct_count,iopt_shape_gain_vs_random_median_pct_mean,iopt_shape_gain_vs_random_median_pct_std,iopt_shape_gain_vs_random_median_pct_count,latin_mse_vs_nn_mean,latin_mse_vs_nn_std,latin_mse_vs_nn_count,latin_shape_vs_nn_mean,latin_shape_vs_nn_std,latin_shape_vs_nn_count,latin_gain_vs_random_median_pct_mean,latin_gain_vs_random_median_pct_std,latin_gain_vs_random_median_pct_count,latin_shape_gain_vs_random_median_pct_mean,latin_shape_gain_vs_random_median_pct_std,latin_shape_gain_vs_random_median_pct_count,shape_nn_fpr_se,shape_nn_fpr_ci95,abs_rmse_gap_se,abs_rmse_gap_ci95,full_fpr_mse_vs_nn_se,full_fpr_mse_vs_nn_ci95,random_mse_median_se,random_mse_median_ci95,dopt_mse_vs_nn_se,dopt_mse_vs_nn_ci95,dopt_shape_vs_nn_se,dopt_shape_vs_nn_ci95,dopt_gain_vs_random_median_pct_se,dopt_gain_vs_random_median_pct_ci95,dopt_shape_gain_vs_random_median_pct_se,dopt_shape_gain_vs_random_median_pct_ci95,aopt_mse_vs_nn_se,aopt_mse_vs_nn_ci95,aopt_shape_vs_nn_se,aopt_shape_vs_nn_ci95,aopt_gain_vs_random_median_pct_se,aopt_gain_vs_random_median_pct_ci95,aopt_shape_gain_vs_random_median_pct_se,aopt_shape_gain_vs_random_median_pct_ci95,iopt_mse_vs_nn_se,iopt_mse_vs_nn_ci95,iopt_shape_vs_nn_se,iopt_shape_vs_nn_ci95,iopt_gain_vs_random_median_pct_se,iopt_gain_vs_random_median_pct_ci95,iopt_shape_gain_vs_random_median_pct_se,iopt_shape_gain_vs_random_median_pct_ci95,latin_mse_vs_nn_se,latin_mse_vs_nn_ci95,latin_shape_vs_nn_se,latin_shape_vs_nn_ci95,latin_gain_vs_random_median_pct_se,latin_gain_vs_random_median_pct_ci95,latin_shape_gain_vs_random_median_pct_se,latin_shape_gain_vs_random_median_pct_ci95
identity,gpu_geometry,5,highdim_nonlinear,Random nonlinear,62.0,2.0,31,30,2.021911236388167e-14,5.81484408863066e-15,6,6.226292486218495e-09,7.99659922561797e-09,6,7.661343472180454e-15,2.3346310884669226e-15,6,9.261683706144737e-09,7.240375391576066e-09,6,2.9075188820119872e-11,1.0723639069096886e-11,6,4.816956008908821e-11,3.15875000721829e-11,6,99.58477197671586,0.16521110460351485,6,99.7560339538597,0.09188929156918754,6,3.062470312251604e-11,1.799583566202109e-11,6,4.3435572218364835e-11,2.0565404605772825e-11,6,99.58318189459607,0.21118294606847973,6,99.72441885442042,0.2070037652493868,6,2.4617000063372565e-10,3.256896204184892e-10,6,5.385952575888716e-10,7.310472516872059e-10,6,98.10737851160803,1.6112511047068885,6,98.41998372157538,1.426081784139633,6,2.3242031100451808e-10,2.3353326744283556e-10,6,3.8188185036598554e-10,3.8933118202176194e-10,6,97.34800489317678,1.7020587772558478,6,98.26318749589275,1.2662749824726696,6,2.373900158497367e-15,4.652844310654839e-15,3.2645979633831874e-09,6.398612008231047e-09,9.53109150730409e-16,1.8680939354316016e-15,2.955870875927552e-09,5.793506916818002e-09,4.3779073175102955e-12,8.580698342320179e-12,1.2895542904495818e-11,2.5275264092811802e-11,0.06744715102003139,0.13219641599926152,0.03751364619505628,0.07352674654231031,7.346769144488732e-12,1.4399667523197914e-11,8.395791273004411e-12,1.6455750895088648e-11,0.08621507670757904,0.16898155034685491,0.08450893328264499,0.16563750923398418,1.3296223075767268e-10,2.6060597228503845e-10,2.9844879074960723e-10,5.849596298692301e-10,0.657790509004598,1.2892693976490122,0.5821954504366609,1.1411030828558553,9.533955719997775e-11,1.868655321119564e-10,1.589437894846594e-10,3.115298273899324e-10,0.6948625860837129,1.3619306687240773,0.5169545968516255,1.013231009829186
identity,gpu_geometry,5,highdim_nonlinear,Random nonlinear,93.0,3.0,31,30,2.021911236388167e-14,5.81484408863066e-15,6,6.226292486218495e-09,7.99659922561797e-09,6,7.661343472180454e-15,2.3346310884669226e-15,6,3.0108542062382317e-09,2.4179333118263707e-09,6,1.106525634509581e-11,4.33068657610543e-12,6,1.9267208054136628e-11,8.183449270422765e-12,6,99.4560072568866,0.3005564096081966,6,99.64669682080826,0.13737509808237885,6,1.9396060127075828e-11,1.3467087408413952e-11,6,2.982950891662776e-11,1.4036168873078052e-11,6,99.18667887612685,0.5300222672140835,6,99.38988671787126,0.4433899342663564,6,1.8222744232188827e-10,2.4667746150445033e-10,6,4.1112541314228697e-10,5.641820230818258e-10,6,96.01626096475411,3.505806511196237,6,95.97029748782397,4.082339613350831,6,3.6440241112860163e-11,1.1748317597817842e-11,6,7.600811619868177e-11,2.6071372021383104e-11,6,98.01894866176237,1.5391372917370592,6,98.22515202233704,1.4646774582217728,6,2.373900158497367e-15,4.652844310654839e-15,3.2645979633831874e-09,6.398612008231047e-09,9.53109150730409e-16,1.8680939354316016e-15,9.871171410087425e-10,1.934749596377135e-09,1.7679953912298421e-12,3.4652709668104903e-12,3.340879174747841e-12,6.548123182505768e-12,0.12270164041050284,0.24049521520458556,0.05608314894443668,0.10992297193109589,5.497915412012412e-12,1.0775914207544327e-11,5.730241947096202e-12,1.1231274216308556e-11,0.2163806844979304,0.4241061416159436,0.18101318267312463,0.3547858380393243,1.0070565195515724e-10,1.9738307783210819e-10,2.303263464335991e-10,4.514396390098542e-10,1.4312395148929438,2.8052294491901697,1.6666081682433844,3.2665520097570333,4.796230575135652e-12,9.400611927265877e-12,1.0643593057777042e-11,2.0861442393243002e-11,0.6283501681408344,1.2315663295560355,0.5979520683999949,1.1719860540639901
identity,gpu_geometry,5,highdim_nonlinear,Random nonlinear,124.0,4.0,31,30,2.021911236388167e-14,5.81484408863066e-15,6,6.226292486218495e-09,7.99659922561797e-09,6,7.661343472180454e-15,2.3346310884669226e-15,6,9.195846367786412e-10,5.779630205555171e-10,6,5.191030328484693e-12,1.88574132296686e-12,6,8.484861589819082e-12,4.4292231405312113e-13,6,99.20812086298837,0.45040118461598144,6,99.49569185810064,0.22950597258863747,6,1.4871757472674052e-11,1.1081807209729474e-11,6,2.1027959683124287e-11,9.219293437560746e-12,6,98.27673221546443,0.9291886582780378,6,98.8648984446782,0.6204154141432898,6,1.4225784560407578e-10,1.9071217864114507e-10,6,3.388826681227639e-10,4.576435588813711e-10,6,89.51010010358836,10.686573901727952,6,89.56772574214064,11.052510459837274,6,1.4069843857929147e-11,6.248589967387807e-12,6,2.7641340011610794e-11,1.6460153740626913e-11,6,98.2570431260583,0.5088057290966425,6,98.5279239827757,1.0160525357444898,6,2.373900158497367e-15,4.652844310654839e-15,3.2645979633831874e-09,6.398612008231047e-09,9.53109150730409e-16,1.8680939354316016e-15,2.359524150931204e-10,4.6246673358251594e-10,7.69850671358284e-13,1.5089073158622367e-12,1.8082227752048497e-13,3.5441166394015053e-13,0.1838755136423732,0.3603960067390515,0.09369542096055747,0.18364302508269265,4.5241288486221705e-12,8.867292543299454e-12,3.763760785168886e-12,7.376971138931016e-12,0.37933968126041956,0.7435057752704223,0.2532835322014277,0.4964357231147983,7.785792090088633e-11,1.5260152496573719e-10,1.86832200555118e-10,3.6619111308803127e-10,4.362775526296171,8.551040031540495,4.512168500562532,8.843850261102562,2.550976171995718e-12,4.999913297111607e-12,6.719829625383298e-12,1.3170866065751264e-11,0.2077190690819237,0.4071293754005704,0.4148017107391611,0.8130113530487557
identity,gpu_geometry,5,highdim_poly3,Sparse cubic,62.0,2.0,31,30,2.6589259839868312e-14,5.3180897316194664e-15,6,6.0894233937699065e-09,5.4073823186535195e-09,6,8.959224826050373e-15,8.416149470206637e-16,6,1.3314688078092257e-08,3.462727635730676e-09,6,2.9066845545884152e-11,7.129955253220028e-12,6,5.688466963596679e-11,1.4413913461990719e-11,6,99.76512384987971,0.0852184367627693,6,99.8150186200213,0.08587616093157895,6,4.400221395794811e-11,4.1657145376463294e-11,6,4.8135176974840115e-11,2.8780076833687653e-11,6,99.70763777536227,0.21130667793309574,6,99.85901824253399,0.0620131817823901,6,7.416897007228533e-10,5.628221286935492e-10,6,1.4633852391927885e-09,1.0454794958790528e-09,6,94.96950406357875,2.6741660428577054,6,95.93492387660221,2.0803652284799714,6,2.6177149049960637e-10,1.0744023589059739e-10,6,4.2131869932641886e-10,2.2658482979405787e-10,6,98.01823832002067,0.6641327846778389,6,98.75976836922882,0.47055011899936044,6,2.1711010414670714e-15,4.25535804127546e-15,2.2075545874748193e-09,4.326806991450646e-09,3.4358786335002067e-16,6.734322121660405e-16,1.4136526376290228e-09,2.7707591697528846e-09,2.9107920432109163e-12,5.705152404693396e-12,5.884455529751773e-12,1.1533532838313474e-11,0.03479028112440339,0.06818895100383064,0.03505879589191669,0.06871523994815672,1.7006458385545758e-11,3.333265843566968e-11,1.1749417166771613e-11,2.302885764687236e-11,0.08626559002978443,0.16908055645837747,0.025316775448885533,0.049620879879815644,2.2977117187437378e-10,4.5035149687377263e-10,4.2681521690764467e-10,8.365578251389835e-10,1.0917237154131718,2.1397784822098167,0.8493055480674122,1.6646388742121279,4.386229262937057e-11,8.597009355356631e-11,9.25028694084695e-11,1.8130562404060022e-10,0.2711310739857326,0.5314169050120359,0.19210128165905624,0.37651851205175024
identity,gpu_geometry,5,highdim_poly3,Sparse cubic,93.0,3.0,31,30,2.6589259839868312e-14,5.3180897316194664e-15,6,6.0894233937699065e-09,5.4073823186535195e-09,6,8.959224826050373e-15,8.416149470206637e-16,6,4.3056386526771415e-09,1.8561041191504822e-09,6,1.0865355448156513e-11,2.7269380993674425e-12,6,1.8525936242978517e-11,1.7094209999656294e-12,6,99.70588881455875,0.12505394174886023,6,99.78643539671891,0.08047856939288946,6,1.53818570140476e-11,6.020032595098247e-12,6,2.2798673187736386e-11,7.169480188759512e-12,6,99.62950161442994,0.08145442338195022,6,99.7553190729568,0.05607655833476823,6,3.518882159447034e-10,2.0239831255049353e-10,6,7.423872288138765e-10,3.9191763784431243e-10,6,92.02436166250921,1.9340639218821956,6,92.49488039183494,1.768513056217191,6,5.707365631969004e-11,3.0572747739559826e-11,6,9.172417626708984e-11,5.351376957067502e-11,6,98.44874643964435,0.8960171429826975,6,98.97816186910507,0.6351032335525524,6,2.1711010414670714e-15,4.25535804127546e-15,2.2075545874748193e-09,4.326806991450646e-09,3.4358786335002067e-16,6.734322121660405e-16,7.577513335661187e-10,1.4851926137895927e-09,1.1132678172675343e-12,2.182004921844367e-12,6.978682009189954e-13,1.367821673801231e-12,0.0510530579347397,0.10006399355208981,0.032855238373624494,0.064396267212304,2.4576680154855925e-12,4.8170293103517616e-12,2.926928030575605e-12,5.736778939928185e-12,0.033253629096400894,0.06517711302894576,0.022893159075266224,0.0448705917875218,8.262876509150963e-11,1.6195237957935888e-10,1.5999970565257594e-10,3.135994230790488e-10,0.7895782897562407,1.5475734479222316,0.7219924318636899,1.4151051664528322,1.2481271999458233e-11,2.4463293118938135e-11,2.184690494350517e-11,4.2819933689270134e-11,0.365797466849001,0.7169630350240419,0.25927980936590106,0.5081884263571661
identity,gpu_geometry,5,highdim_poly3,Sparse cubic,124.0,4.0,31,30,2.6589259839868312e-14,5.3180897316194664e-15,6,6.0894233937699065e-09,5.4073823186535195e-09,6,8.959224826050373e-15,8.416149470206637e-16,6,1.5602088643057233e-09,7.035642795688285e-10,6,6.265452677096242e-12,2.6802295684505955e-12,6,1.024686627600643e-11,1.095470750650232e-12,6,99.53074372686585,0.22554454135852853,6,99.71215350418056,0.0845709685829229,6,8.522534721352198e-12,1.778667562376357e-12,6,1.366346478453669e-11,1.8131400217772665e-12,6,99.3655503913355,0.2623221896159453,6,99.6176212398895,0.10863389631780662,6,2.1104821180168574e-10,7.639885551318727e-11,6,4.691448544478067e-10,1.7108093723802012e-10,6,85.11842105445525,4.748066251201851,6,87.07868598429968,4.37309934423246,6,3.160441243077906e-11,1.421729959310156e-11,6,4.387918865097321e-11,2.3415012153691555e-11,6,97.26304099358772,2.5646203026160186,6,98.68095627812407,1.1532804044206881,6,2.1711010414670714e-15,4.25535804127546e-15,2.2075545874748193e-09,4.326806991450646e-09,3.4358786335002067e-16,6.734322121660405e-16,2.8722891436541363e-10,5.629686721562107e-10,1.094199139370653e-12,2.14463031316648e-12,4.47224061206122e-13,8.765591599639991e-13,0.09207817343307532,0.18047321992882764,0.034525953346851344,0.06767086855982864,7.261379916436743e-13,1.4232304636216016e-12,7.402113142621804e-13,1.4508141759538737e-12,0.10709258546144698,0.20990146750443608,0.0443496024581731,0.08692522081801927,3.118970215665438e-11,6.113181622704258e-11,6.984350015837716e-11,1.3689326031041925e-10,1.9383899300623186,3.7992442629221443,1.7853103313115424,3.499208249370623,5.8041882538962876e-12,1.1376208977636724e-11,9.559138682935153e-12,1.87359118185529e-11,1.0470018542319046,2.052123634294533,0.4708247535302185,0.9228165169192283
identity,gpu_geometry,5,highdim_poly4,Sparse quartic,62.0,2.0,31,30,2.945931068683943e-14,1.8820573309703437e-14,6,6.2925469441569666e-09,5.655414338633389e-09,6,9.10660630758172e-15,5.811220067928483e-15,6,1.4949002541533052e-08,8.755143445727198e-09,6,4.73893912585467e-11,1.9245429721638318e-11,6,1.0314207800196215e-10,3.6669172428801674e-11,6,99.53665980536846,0.3009228575353611,6,99.58865203300802,0.2770836450313481,6,5.494875478505409e-11,1.746355857440397e-11,6,1.0246810677362531e-10,2.022981777534002e-11,6,99.5380635810879,0.2069501510816594,6,99.63262750053252,0.18147308223044742,6,6.749568308076415e-10,3.998462658262825e-10,6,1.4746427861945827e-09,7.410550357975632e-10,6,95.49107869525947,0.18473049944839967,6,95.73510003214392,0.44373960936506013,6,2.1627420050222686e-10,1.6743648982038243e-10,6,4.717521093281335e-10,3.9389313753082436e-10,6,98.55505693197263,0.7042676382918489,6,98.67956165918002,0.7137730404358715,6,7.683466879236237e-15,1.5059595083303025e-14,2.3088132356119e-09,4.525273941799324e-09,2.3724206582410976e-15,4.6499444901525515e-15,3.574272344484024e-09,7.005573795188687e-09,7.856913783101264e-12,1.5399551014878477e-11,1.4970126956782905e-11,2.934144883529449e-11,0.12285124215031178,0.24078843461461108,0.11311892439954371,0.22171309182310567,7.129467933415959e-12,1.397375714949528e-11,8.258788523178031e-12,1.618722550542894e-11,0.08448704539032563,0.16559460896503822,0.0740860755857882,0.14520870814814488,1.6323655447193917e-10,3.1994364676500075e-10,3.0253445150399205e-10,5.929675249478245e-10,0.07541591059634477,0.14781518476883573,0.1811559369343882,0.3550656363914009,6.835566073044114e-11,1.3397709503166462e-10,1.6080620002240635e-10,3.1518015204391644e-10,0.2875160593616696,0.5635314763488724,0.29139662353713836,0.5711373821327912
identity,gpu_geometry,5,highdim_poly4,Sparse quartic,93.0,3.0,31,30,2.945931068683943e-14,1.8820573309703437e-14,6,6.2925469441569666e-09,5.655414338633389e-09,6,9.10660630758172e-15,5.811220067928483e-15,6,3.604283289486089e-09,2.092057694632335e-09,6,1.597252009575474e-11,6.7549888074783034e-12,6,3.2921732660143514e-11,9.904481543752363e-12,6,99.48309897779295,0.18116148913641222,6,99.56077149689314,0.1902991427983719,6,2.3731482520778662e-11,1.234540194864134e-11,6,4.045589239175582e-11,2.0858897381933092e-11,6,99.3003142174179,0.2336621180240054,6,99.4686074884587,0.2511557326195665,6,4.766871094428953e-10,2.5924457108520137e-10,6,1.1188826635681125e-09,5.309988584009049e-10,6,86.63072424974666,1.7291949441386902,6,87.08709452222229,2.506925764226926,6,5.5740029581083844e-11,5.3013991960928353e-11,6,1.3722643655935934e-10,1.3338539703392484e-10,6,98.6689037310792,0.6157818529676473,6,98.7024208204756,0.5730716874881896,6,7.683466879236237e-15,1.5059595083303025e-14,2.3088132356119e-09,4.525273941799324e-09,2.3724206582410976e-15,4.6499444901525515e-15,8.540789773854212e-10,1.6739947956754255e-09,2.7577126327555463e-12,5.4051167602008705e-12,4.043487658167786e-12,7.92523581000886e-12,0.07395886823782799,0.14495938174614287,0.07768929972417389,0.15227102745938081,5.039989240622071e-12,9.878378911619258e-12,8.515609197135333e-12,1.6690594026385252e-11,0.09539216022946562,0.1869686340497526,0.10253389848213709,0.2009664410249887,1.0583615295757088e-10,2.0743885979683893e-10,2.1677937618043231e-10,4.248875773136473e-10,0.7059408798233755,1.383644124453816,1.023448157565456,2.0059583888282937,2.164287158871398e-11,4.24200283138794e-11,5.4454360311943444e-11,1.0673054621140915e-10,0.2513918887727119,0.49272810199451533,0.23395553673029457,0.45855285199137735
identity,gpu_geometry,5,highdim_poly4,Sparse quartic,124.0,4.0,31,30,2.945931068683943e-14,1.8820573309703437e-14,6,6.2925469441569666e-09,5.655414338633389e-09,6,9.10660630758172e-15,5.811220067928483e-15,6,1.3285670303539643e-09,9.956397096984708e-10,6,7.244897148477961e-12,3.11391084659177e-12,6,1.3993721448909848e-11,4.4850753845868055e-12,6,99.2765376611996,0.3211349247052519,6,99.48239511379587,0.19042566937364333,6,1.3242211729507788e-11,9.795903526645872e-12,6,2.2718127980981814e-11,1.718275688380363e-11,6,98.74932053800507,0.8103552804985841,6,99.15783186915787,0.5337881029929413,6,3.849000523438866e-10,2.1325497888092228e-10,6,9.092489847920346e-10,4.3490312842225033e-10,6,67.82760547800464,8.358089020202842,6,70.11153140546637,7.291700750668641,6,2.0750163004536817e-11,2.0937227774267626e-11,6,4.168679886832702e-11,3.261073418443605e-11,6,98.51140198051183,0.9823315685613027,6,98.78331490419866,0.6312465137713625,6,7.683466879236237e-15,1.5059595083303025e-14,2.3088132356119e-09,4.525273941799324e-09,2.3724206582410976e-15,4.6499444901525515e-15,4.064682094023376e-10,7.966776904285816e-10,1.2712487797779707e-12,2.4916476083648224e-12,1.8310243583591166e-12,3.5888077423838684e-12,0.13110278401916048,0.25696145667755455,0.07774095398222669,0.1523722698051643,3.999160868302105e-12,7.838355301872126e-12,7.014831123269006e-12,1.3749069001607252e-11,0.33082615793191117,0.6484192695465458,0.21791808051681677,0.42711943781296086,8.706098056104375e-11,1.7063952189964574e-10,1.7754845869576958e-10,3.479949790437084e-10,3.4121755540425944,6.687864085923485,2.9768243660345393,5.834575757427697,8.54758744589727e-12,1.675327139395865e-11,1.3313276481567476e-11,2.609402190387225e-11,0.4010351835338369,0.7860289597263203,0.2577053101084321,0.5051024078125269
identity,gpu_geometry,10,highdim_nonlinear,Random nonlinear,172.0,2.0,86,85,7.783267325576473e-15,4.3055794287816976e-15,6,2.9082693614457256e-09,1.988086475874678e-09,6,5.116368051503535e-15,1.8042624862242997e-15,6,3.747645286068e-10,1.7697194464214276e-10,6,3.3149332654633408e-12,1.3571541135799583e-12,6,3.951200702109661e-12,2.0240121787149453e-12,6,99.04003921213086,0.28951074521652576,6,99.05280773546345,0.3422541332449893,6,8.014820794462912e-12,4.249351854555153e-12,6,1.1749780187360563e-11,1.0074041226954608e-11,6,97.63548113266359,1.0042838793291733,6,97.27591714407475,2.0721349225093166,6,5.4405525829377964e-11,3.9711976130880576e-11,6,8.17886456186596e-11,7.221663665541231e-11,6,82.43770000962895,11.008737847469657,6,79.09459038221588,15.303126890770889,6,6.95375563928583e-11,5.055020347716162e-11,6,5.853825594991125e-11,4.330074263967419e-11,6,77.47015364633955,20.491146063410625,6,83.2000996867859,18.4681214745124,6,1.757745441256504e-15,3.445181064862748e-15,8.116329050701635e-10,1.5908004939375204e-09,7.365870755491496e-16,1.4437106680763331e-15,7.22484938602202e-11,1.416070479660316e-10,5.540558467650174e-13,1.085949459659434e-12,8.262995118384153e-13,1.619547043203294e-12,0.11819226680556566,0.2316568429389087,0.1397246648014581,0.2738603430108579,1.7347906302015874e-12,3.4001896351951114e-12,4.112710108966696e-12,8.060911813574724e-12,0.4099971768765515,0.8035944666780409,0.8459455397248978,1.6580532578607998,1.621234636637373e-11,3.177619887809251e-11,2.948231845762203e-11,5.778534417693917e-11,4.494298406394315,8.808824876532858,6.247475391908787,12.245051768141222,2.0637034152151656e-11,4.0448586938217245e-11,1.767745415846269e-11,3.4647810150586874e-11,8.365475350032705,16.3963316860641,7.539579020048645,14.777574879295344
