case,case_label,dataset_family,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002331110915379001,0.002072887034032344,0.00031051824918259944,0.0007056571294608695,0.0027526102885091705,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0005573869567873578,0.0009785382934451086,0.0004379021880422233,0.0011090224591655852,0.001007206947454469,0.0019062597240036307,0.0005360210697932978,0.0013107717357817258,0.0006976465493136934,0.0005961503270098186,0.0008283152586365911,0.0007565369341018569,0.0015900211914215403,0.0014138168018879823,0.0019848465781188195,0.001789366441044182,20.10467802991577,38.45753133829256,37.23151236496367,30.25108941006778,-44.372096220543796,-19.88895080696131,23.16724416961482,17.562624771695955,7.590877999988152
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002331110915379001,0.002072887034032344,0.00031051824918259944,0.0007056571294608695,0.0027526102885091705,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0003831611585747478,0.001015595109743492,0.0003883175058913074,0.0010553841756389998,0.0007788906496720621,0.0015722932043435475,0.00043481476731860357,0.0009385577135796405,0.0005729057962551248,0.0004910625674732185,0.000689795382394832,0.0006034495020540862,0.0014525076513814427,0.0011977416547304521,0.0016323797510709222,0.0015194786793041308,33.11969243821029,30.079878837293172,32.21965837497253,27.340542775437292,-35.95440206110406,-8.246810462456416,24.103618751838734,35.383630324631866,7.7743915999890305
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002331110915379001,0.002072887034032344,0.00031051824918259944,0.0007056571294608695,0.0027526102885091705,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.0003550322812694685,0.0007568798821646327,0.00036346151412492306,0.0010980729135789393,0.0006875604928396507,0.0014587674807484755,0.000437120943323386,0.0009364265335516556,0.0005071394637038143,0.00043397950506955543,0.0005488494853229454,0.0005064193608503004,0.0012469537793665404,0.0011053948945542772,0.0015203013020952864,0.0013145866935113735,29.993166243355343,39.30168906909027,28.331052868487422,11.939565704130056,-35.57621562679416,-16.986491791984278,13.806561191089115,24.902867367917544,7.951549399993382
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002324187871591157,0.0020732106390364755,0.0002585892262603989,0.000691210058070602,0.0026773088187141345,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.0003924722364451985,0.0009598665364451896,0.00048669671427430876,0.0011519737853495316,0.0009947192687492987,0.0019160405323246593,0.0005239799674842128,0.0011112187370135307,0.000602666873001591,0.0004999834808372744,0.000798311700088768,0.0006676481238418429,0.0014750365495388089,0.0012476355957424178,0.0019388329964249934,0.0016335175684631057,34.877416691167234,34.92591510730324,19.24282948383926,21.90201756629606,-65.0529195001353,-29.89783425527568,13.056451091376061,24.665003225786574,2.9240225999965332
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002324187871591157,0.0020732106390364755,0.0002585892262603989,0.000691210058070602,0.0026773088187141345,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0004136906664470512,0.0009845981926918644,0.00038732057509892624,0.0009194896434106326,0.0007350001128079614,0.0017044261590137702,0.00038607466754711484,0.0010718395576959014,0.0004888575745420195,0.00043094459337520634,0.0005611203891019539,0.0005051985604513312,0.001213647102241496,0.0010465300334143984,0.0014643338615986526,0.0012796937394434897,15.376034249932108,18.87277686624054,20.77026208261517,24.23747877678621,-50.350562430486555,-40.438365968645236,21.02512313350072,11.68441339197276,3.080972700001439
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.002324187871591157,0.0020732106390364755,0.0002585892262603989,0.000691210058070602,0.0026773088187141345,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.00041131256258009047,0.0008044451551831998,0.0003670006161404004,0.0009435256991970622,0.0006527606031010012,0.0014921740119137844,0.00040734194189056357,0.0008310989982491755,0.0004240662916111474,0.00038030071605106623,0.00045425582268225634,0.00042709438159958037,0.0010763001235725277,0.0009480310480995773,0.0011629097509141817,0.0010768555338669008,3.007484745510407,25.258286460747456,13.45678178143762,12.33618964334518,-53.92890593142397,-38.63921217075216,3.943805497259243,22.781854238710306,3.244254199991701
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003224874016484398,0.002884324667649714,0.0003477893431638974,0.0007144508792061815,0.003082065167062706,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.001550000907689906,0.0019653774434109867,0.000991333062091621,0.001895019725597281,0.0013927876969681066,0.002747711661546859,0.0013557183772910932,0.0022832807566459624,0.0007682950217665493,0.0006548902534409372,0.0010011815663163747,0.0008276582771044208,0.001830959330395802,0.0014274656009014065,0.0022711640206005673,0.0018939412215879128,-101.74553573521429,-7.341403535496735,-29.03025973176786,-3.498733922595158,-81.28292615584758,-50.069508149745786,-76.45804526676157,-24.70406735644867,3.036397100018803
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003224874016484398,0.002884324667649714,0.0003477893431638974,0.0007144508792061815,0.003082065167062706,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0010797418238286634,0.0015047066100919724,0.0007571021147999337,0.0013256104151421234,0.0011766219176886376,0.002716366447817695,0.0007214003538830857,0.0015887101511516117,0.0006332620288280809,0.0005651851609086437,0.0007498246732280293,0.0006651216888235982,0.0015358708629771825,0.0012615298324021207,0.0018003163516877158,0.001583895525649724,-70.50474758874161,2.029093307024546,-19.555899506722703,13.689982205110871,-85.80332692078544,-76.86164333843803,-13.918144629343118,-3.440347066159185,3.204247600020608
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003224874016484398,0.002884324667649714,0.0003477893431638974,0.0007144508792061815,0.003082065167062706,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.0009069557143257064,0.0012442509966815584,0.000753659454774955,0.0014270311323062858,0.0009820966962101063,0.0019876924365463903,0.0008640958473825488,0.0012963876347184193,0.0005853532555061124,0.0005124045884597271,0.0006271909802717531,0.0005890106860741609,0.0013860489430474019,0.0012008257018148213,0.0015810729526988744,0.0014318972935935038,-54.94160249293014,10.230370801631503,-28.752927857780584,-2.9567635013507854,-67.77846317109122,-43.40708865418562,-47.61955097275883,6.468841434404976,3.3750841000000946
highdim_poly2,Quadratic,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.003879304921393991,0.002883871642795192,0.0010956452702482712,0.004105150453871021,0.008582375105364831,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.002145882486599224,0.0040702544598605235,0.0018812745981096534,0.0024108116508274905,0.001955886655409541,0.0046058224006516055,0.0018304253290398077,0.0038419913327322206,0.0018102435329543111,0.0016548631297454083,0.0019800210205715226,0.001883069857368806,0.004519843361882328,0.003609757883395788,0.005640333588828085,0.004671048241573113,-18.54109392105665,9.94700183226193,-3.9238402934338823,46.661610639898655,-8.045498840564324,-1.9022570448873015,-1.1148663546147255,14.997246029955559,2.667538500012597
