case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.0071919996255127,0.0055819107322493,0.0035367981439514,0.0024408184323567,0.0026793220878511,0.0017557390766494,0.0036340812238031,0.0035648330035216,0.0037090880551882,0.0024088598081084,0.0023321781670328,0.0025249671578972,2.6769649289765405,-1.326711672497488,8.406998999998905
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.0071919996255127,0.0048089059970729,0.0028338555127802,0.0019036326297052,0.0026793220878511,0.0017557390766494,0.0029575482455514,0.0029441612819807,0.0030122091570558,0.0019186781464195,0.001882818914412,0.002007347953149,4.182272696895733,0.7841605296026869,8.929778500001703
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.0071919996255127,0.0046315778015659,0.002651027161684,0.0018958638428132,0.0026793220878511,0.0017557390766494,0.0028030413006398,0.0027592631093875,0.0028598994087505,0.0019015668724903,0.0018759635119439,0.0019246374090192,5.423185841789929,0.2999121282344872,9.85020280000026
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.0071919996255127,0.0046151143901435,0.0025702225263188,0.0017020098486422,0.0026793220878511,0.0017557390766494,0.0026822807716814,0.0026592471004794,0.0027074066354881,0.0018453606939535,0.0017824567299263,0.0018751935184885,4.177722427335255,7.768174849556272,10.83827089999977
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.0071919996255127,0.0046093479336555,0.0025477255533562,0.0017962459056665,0.0026793220878511,0.0017557390766494,0.002623583552579,0.002599284806269,0.0026371305127688,0.0018056750148786,0.0017632838089484,0.0018498269987366,2.891388732338375,0.522193037754791,11.835581999999704
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.001810224957423,0.0015796274064282,0.001011946301849,0.0006625803351099,0.0016746002733212,0.0009796184416886,0.0009585599449297,0.0009440154414848,0.0009706197409997,0.0006574292003635,0.0006392429148982,0.0006683728200003,-5.569433315222995,-0.7835269172088565,7.677275800000643
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.001810224957423,0.0012796728963932,0.0007588679336565,0.0004614810256227,0.0016746002733212,0.0009796184416886,0.000818355603096,0.0008061624711654,0.0008323529730802,0.0005336129200727,0.0005254413765851,0.0005667653015146,7.269171154256591,13.517643920644248,8.164462799999455
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.001810224957423,0.0012561384178205,0.0007183488992654,0.0004808107745744,0.0016746002733212,0.0009796184416886,0.000764566473811,0.0007569041562911,0.0007767278802338,0.0005269164596506,0.0005030772735415,0.0005344001922592,6.044938684701045,8.750093915596471,9.152493000001414
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.001810224957423,0.0012518215308862,0.0007107679659609,0.000474357240189,0.0016746002733212,0.0009796184416886,0.0007505083110044,0.0007476657389607,0.0007552248339224,0.0004926603425762,0.0004722226546588,0.0005070238089503,5.295123912793755,3.71515642835219,10.20978230000037
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.001810224957423,0.0012339595085104,0.0007077822021589,0.0004592253054508,0.0016746002733212,0.0009796184416886,0.000729519888903,0.0007237432755529,0.0007366243318855,0.000498301480159,0.0004815754988024,0.0005158783722598,2.9797250321454007,7.841874099135857,11.189582200000586
