case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.0071919996255127416,0.005581910732249301,0.003536798143951461,0.002440818432356756,0.0026793220878511773,0.0017557390766494985,0.003634081223803194,0.0035648330035216347,0.0037090880551882955,0.00240885980810848,0.0023321781670328644,0.002524967157897203,2.6769649289765405,-1.3267116724974881,8.406998999998905
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.0071919996255127416,0.0048089059970729845,0.002833855512780228,0.0019036326297052083,0.0026793220878511773,0.0017557390766494985,0.002957548245551445,0.0029441612819807697,0.003012209157055877,0.0019186781464195428,0.0018828189144120453,0.0020073479531490792,4.182272696895733,0.7841605296026869,8.929778500001703
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.0071919996255127416,0.0046315778015659816,0.0026510271616840006,0.001895863842813247,0.0026793220878511773,0.0017557390766494985,0.002803041300639824,0.002759263109387572,0.002859899408750569,0.0019015668724903347,0.0018759635119439196,0.0019246374090192318,5.423185841789929,0.29991212823448726,9.850202800000261
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.0071919996255127416,0.0046151143901435885,0.002570222526318817,0.001702009848642234,0.0026793220878511773,0.0017557390766494985,0.0026822807716814544,0.0026592471004794884,0.0027074066354881654,0.001845360693953529,0.0017824567299263368,0.001875193518488512,4.177722427335255,7.768174849556272,10.83827089999977
highdim_poly2,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.0071919996255127416,0.004609347933655576,0.002547725553356297,0.0017962459056665105,0.0026793220878511773,0.0017557390766494985,0.0026235835525790503,0.0025992848062690293,0.002637130512768803,0.0018056750148786847,0.0017632838089484387,0.0018498269987366766,2.891388732338375,0.522193037754791,11.835581999999704
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.001810224957423039,0.0015796274064282755,0.0010119463018490968,0.0006625803351099642,0.0016746002733212433,0.0009796184416886733,0.0009585599449297937,0.000944015441484823,0.0009706197409997028,0.000657429200363525,0.0006392429148982847,0.0006683728200003855,-5.569433315222995,-0.7835269172088565,7.677275800000643
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.001810224957423039,0.0012796728963932224,0.0007588679336565391,0.0004614810256227352,0.0016746002733212433,0.0009796184416886733,0.0008183556030960389,0.0008061624711654029,0.0008323529730802474,0.0005336129200727171,0.0005254413765851499,0.0005667653015146109,7.269171154256591,13.517643920644247,8.164462799999455
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.001810224957423039,0.0012561384178205238,0.0007183488992654066,0.0004808107745744486,0.0016746002733212433,0.0009796184416886733,0.0007645664738110664,0.000756904156291185,0.0007767278802338765,0.0005269164596506132,0.000503077273541546,0.0005344001922592222,6.044938684701045,8.750093915596471,9.152493000001414
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.001810224957423039,0.0012518215308862655,0.0007107679659609376,0.00047435724018906976,0.0016746002733212433,0.0009796184416886733,0.0007505083110044381,0.0007476657389607691,0.0007552248339224417,0.0004926603425762326,0.0004722226546588793,0.0005070238089503405,5.295123912793755,3.71515642835219,10.20978230000037
highdim_smooth,20,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.001810224957423039,0.001233959508510487,0.0007077822021589427,0.0004592253054508148,0.0016746002733212433,0.0009796184416886733,0.0007295198889030667,0.0007237432755529304,0.0007366243318855715,0.0004983014801590152,0.0004815754988024076,0.000515878372259888,2.9797250321454007,7.841874099135857,11.189582200000586
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.04368832595053639,0.03048215575737271,0.046108425259533126,0.011907996732636384,0.029414817799421924,0.005613546420659748,0.050189265111264314,0.04956662195795487,0.05064295265798236,0.012810270833548288,0.012685791266887386,0.013360772799241891,8.13090178285017,7.0433647550134175,8.940022800001316
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.04368832595053639,0.058532174504158194,0.08177159766149089,0.020460893960706085,0.029414817799421924,0.005613546420659748,0.13554493759967745,0.12084743962095193,0.14433815423100685,0.03521797210714353,0.03201072238650071,0.03692059499142203,39.6719648040286,41.90212344294564,12.348133899999084
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.04368832595053639,0.028969881591471052,0.05573341007176958,0.015160456620374857,0.029414817799421924,0.005613546420659748,0.06320358147828108,0.061758532269282185,0.06366687334059487,0.016387928308274808,0.016069373612046675,0.017553458783915545,11.81922168299672,7.490096763970833,23.712731799998437
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.04368832595053639,0.014257669295141315,0.04073127650312623,0.011161539026027487,0.029414817799421924,0.005613546420659748,0.04555593425634476,0.04505727115370618,0.04649732984029983,0.012001287848143645,0.01184685203905506,0.012304928814686493,10.59062410194469,6.9971559114470345,34.922865500004264
highdim_poly2,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.04368832595053639,0.01193975620191404,0.03913619101861889,0.010583984620073959,0.029414817799421924,0.005613546420659748,0.04095831842047282,0.040291235088798186,0.04123884375950601,0.010911280780061886,0.010480898563348117,0.011250488348919912,4.448735866419612,2.9996126631256077,44.656108800001675
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.008062352173893693,0.019903120439648578,0.021607298295176016,0.005347755515273723,0.02153561300036433,0.004533232951976618,0.021963423624236228,0.021339955599057166,0.022575689348093887,0.0053005685271544116,0.005197203087339439,0.0058311992514230165,1.6214472531833983,-0.8902250367592854,8.76798350000172
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.008062352173893693,0.07418386739407233,0.07888246088488488,0.018934059746240094,0.02153561300036433,0.004533232951976618,0.06657021804203213,0.061031034561010354,0.07052574313506764,0.016792857640660207,0.015739339070136846,0.017433679382749964,-18.495121700035373,-12.75067145448454,12.185761699998693
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.008062352173893693,0.006534264972787833,0.010944104128969066,0.0028591797330636192,0.02153561300036433,0.004533232951976618,0.01285830504470352,0.012405891921081434,0.013306908976560216,0.0032971718638656745,0.0032036823766046535,0.0033964470062897902,14.886883683965294,13.283873237003302,23.374670199998945
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.008062352173893693,0.003549250590689183,0.0077935155596346025,0.001977624791061971,0.02153561300036433,0.004533232951976618,0.00830870654713732,0.008219389327375152,0.008408148675773795,0.0021929971000970417,0.0021827211319395507,0.0022592449274345936,6.200615999372632,9.820911711444593,35.3360004999995
highdim_smooth,50,cpu,,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.008062352173893693,0.0025921102210224654,0.006901958836689516,0.001779116938592287,0.02153561300036433,0.004533232951976618,0.007282033916900443,0.0071967912321464714,0.007430097880589185,0.001961349609044956,0.0019444971721630684,0.0019783494933475303,5.2193533365566065,9.291187538024088,45.303427899998496
