case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.007152901418741283,0.005685640594744087,0.003792220116203861,0.0026794188855411797,0.003491440610592912,0.002311233935058583,0.0037873952076333374,0.003708769004584507,0.00394480072644638,0.002569937043494096,0.00247284947110497,0.0026405815921632346,-0.12739385002122733,-4.260098212298301,3.0476874000014504
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.007152901418741283,0.0048621397644498555,0.003017421321194514,0.0020309850131317226,0.003491440610592912,0.002311233935058583,0.0031623559072473124,0.0031476091699975855,0.0031974107445834534,0.002106084308949869,0.002019187645518677,0.002203055328825176,4.583120632331277,3.5658257126274404,3.557671599999594
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.007152901418741283,0.004674956032589705,0.0028856516178426884,0.00199277178196208,0.003491440610592912,0.002311233935058583,0.0029814994660997377,0.0029565463103650913,0.003027848760700398,0.002053220405267661,0.0019223222357770094,0.0021047892294894215,3.214753158498233,2.9440883769953015,4.509362100005092
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.007152901418741283,0.004673762517771696,0.0028260670851270805,0.0018268687794030017,0.003491440610592912,0.002311233935058583,0.0028684526638603734,0.0028514475557370827,0.002879931491280753,0.001920305117868915,0.0019082359531742217,0.0020105140848716745,1.4776460935649613,4.865702725908758,5.485293900004763
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.007152901418741283,0.004660096031288147,0.0027915622015789393,0.0019312133116043836,0.003491440610592912,0.002311233935058583,0.0028170424216984154,0.0028032822402890845,0.002826032671207453,0.0018721588478677323,0.001827489494662288,0.002066117232433586,0.9045025351131863,-3.154351128052543,6.487962100000004
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.001820455956428831,0.001560939110144645,0.0010832798367376587,0.0007333245797454764,0.0019883515770887997,0.001226002094330201,0.0010338774759169273,0.0010131414957027904,0.0010589030267493073,0.0007176244024634441,0.0006880887079111584,0.0007277736970636514,-4.778357394517889,-2.18779869081055,2.3150347999981022
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.001820455956428831,0.0012783920785437036,0.0008173147351126726,0.0005226931061680469,0.0019883515770887997,0.001226002094330201,0.0008780629628155356,0.000871793461825221,0.0008815309285879759,0.0005672953978894504,0.0005526606377630704,0.0005892456987291899,6.918436407802913,7.862269267006336,2.840639900001406
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.001820455956428831,0.0012472745125739304,0.0007616271957324442,0.0005286153912917954,0.0019883515770887997,0.001226002094330201,0.0008233391061832857,0.0008154432162512334,0.0008371173353640091,0.0005571563102788216,0.0005462054393330114,0.0005753420747538569,7.495321185084532,5.122605355172819,3.8584966999987955
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.001820455956428831,0.001247115271134291,0.0007586192390273272,0.0004974610997758494,0.0019883515770887997,0.001226002094330201,0.0008135955853250053,0.0008068691523334981,0.0008158618453258419,0.0005333527140289846,0.0005057051346826383,0.0005437993019216239,6.757208039141072,6.729433132908863,4.850421000002825
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.001820455956428831,0.0012278805919995828,0.0007574457961183138,0.00048061003598336323,0.0019883515770887997,0.001226002094330201,0.0007846737710708409,0.0007819340274889052,0.0007853136500314273,0.0005521320113952666,0.0005302255130882465,0.0005710275318953177,3.46997388677453,12.953781692744737,5.9346272999973735
