device,case,case_label,p,initial_fraction,iteration,selected_n,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_n,batch_size,oracle_mse_vs_y_mean,oracle_mse_vs_y_std,oracle_mse_vs_y_count,pilot_mse_fullpr_vs_nn_mean,pilot_mse_fullpr_vs_nn_std,pilot_mse_fullpr_vs_nn_count,pilot_shape_fullpr_vs_nn_mean,pilot_shape_fullpr_vs_nn_std,pilot_shape_fullpr_vs_nn_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,mse_gain_vs_random_median_pct_mean,mse_gain_vs_random_median_pct_std,mse_gain_vs_random_median_pct_count,dopt_shape_vs_nn_mean,dopt_shape_vs_nn_std,dopt_shape_vs_nn_count,random_shape_median_mean,random_shape_median_std,random_shape_median_count,shape_gain_vs_random_median_pct_mean,shape_gain_vs_random_median_pct_std,shape_gain_vs_random_median_pct_count,oracle_mse_vs_y_sem,oracle_mse_vs_y_ci95,pilot_mse_fullpr_vs_nn_sem,pilot_mse_fullpr_vs_nn_ci95,pilot_shape_fullpr_vs_nn_sem,pilot_shape_fullpr_vs_nn_ci95,dopt_mse_vs_nn_sem,dopt_mse_vs_nn_ci95,random_mse_median_sem,random_mse_median_ci95,mse_gain_vs_random_median_pct_sem,mse_gain_vs_random_median_pct_ci95,dopt_shape_vs_nn_sem,dopt_shape_vs_nn_ci95,random_shape_median_sem,random_shape_median_ci95,shape_gain_vs_random_median_pct_sem,shape_gain_vs_random_median_pct_ci95,positive_rate
cpu,highdim_poly2,Quadratic,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.008126319037896358,0.0012210460435740473,6,0.03803794621199425,0.004790898076241125,6,0.019846506925865714,0.0028458385388879293,6,0.003589336937780189,0.000851685140199672,6,0.0036818610558853188,0.0008740109384960875,6,2.4913336859234563,0.5315437667854195,6,0.0024098779005384823,0.0006014768415565089,6,0.0024396901594063423,0.0005766367725831616,6,1.5871518638971,4.258055093279621,6,0.0004984899598667685,0.0009770403213388663,0.0019558759494120496,0.003833516860847617,0.001161808718437175,0.002277145088136863,0.0003476990024999916,0.0006814900448999836,0.0003568134714877443,0.0006993544041159788,0.21700183409686982,0.42532359482986487,0.0002455518923190486,0.0004812817089453353,0.00023541097662567508,0.00046140551418632315,1.7383437125323502,3.4071536765634063,1.0
cpu,highdim_poly2,Quadratic,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.008126319037896358,0.0012210460435740473,6,0.004651492964031038,0.0011246084511244705,6,0.0029489049791361134,0.0007602804105319512,6,0.003565551795108241,0.0008511330827291608,6,0.0036447644792086675,0.0008803361593842187,6,2.044846582018215,1.3439683404023828,6,0.002493756367453559,0.0006086768065727403,6,0.002481214897666753,0.0005963532761829558,6,-0.6191335859068597,4.693783906233969,6,0.0004984899598667685,0.0009770403213388663,0.00045911947761277796,0.0008998741761210448,0.00031038317787283307,0.0006083510286307527,0.00034747362598141763,0.0006810483069235785,0.00035939573210213015,0.000704415634920175,0.548672777406828,1.0753986437173828,0.00024849126572832464,0.0004870428808275163,0.0002434602055142157,0.00047718200280786276,1.916229255526811,3.7558093408325495,0.8333333333333334
cpu,highdim_poly2,Quadratic,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.037293632282286125,0.005653171314285185,6,0.03880255219829687,0.0059562273793661,6,0.005208964692568184,0.0004231572993003235,6,0.033757332355869765,0.006398464184445811,6,0.03506289431426232,0.006142086933127688,6,3.9886601025724566,2.1957588983011633,6,0.009123838283306424,0.001539254271582721,6,0.009420767476305186,0.0016686582109038792,6,2.8463165003807513,5.003902179759048,6,0.002307897524756277,0.0045234791485223025,0.002431619645240265,0.00476597450467092,0.00017275324403666232,0.00033859635831185814,0.002612162064894258,0.005119837647192745,0.00250749649032981,0.004914693121046428,0.8964148165022653,1.75697304034444,0.0006283979249628446,0.0012316599329271756,0.000681226861969997,0.001335204649461194,2.0428345105350294,4.003955640648657,1.0
cpu,highdim_poly2,Quadratic,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.037293632282286125,0.005653171314285185,6,0.03288651348887663,0.005592077945607565,6,0.006970180346961612,0.0013363668897946163,6,0.032670445067473415,0.005996785297810504,6,0.033737868747463595,0.006047107716985053,6,3.2428011008950883,1.1521560967428068,6,0.008925905584246522,0.0015496017583353922,6,0.009092442662644999,0.0015885370624436179,6,1.7972344814059091,2.016850907491693,6,0.002307897524756277,0.0045234791485223025,0.00228295626143496,0.0044745942724125215,0.0005455694981911618,0.0010693162164546772,0.002448177346109966,0.004798427598375533,0.002468721387709982,0.004838693919911564,0.4703657568427681,0.9219168834118254,0.0006326222687402201,0.0012399396467308312,0.0006485175400810938,0.001271094378558944,0.8233759351039746,1.61381683280379,1.0
cpu,highdim_smooth,Smooth,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.00202023819322073,0.0003002874692668218,6,0.006740528155120537,0.0031983521017070566,6,0.003734598941074869,0.0017006646918005294,6,0.0008639496091797393,0.00018079808371411642,6,0.0008849992875167175,0.00019093113020768706,6,2.261514333821568,0.7607042003773912,6,0.0005523680867058955,0.00011475362129068065,6,0.0005885787525840362,0.00012525126190645464,6,5.971071992920751,4.244653385184609,6,0.0001225918459758998,0.00024028001811276362,0.0013057217778234093,0.0025592146845338825,0.0006942934530798187,0.0013608151680364446,7.381050859543043e-05,0.00014466859684704364,7.794730750362149e-05,0.0001527767227070981,0.31055618935274987,0.6086901311313897,4.684796971645793e-05,9.182202064425755e-05,5.113361355175168e-05,0.00010022188256143329,1.7328724881132658,3.396430076702001,1.0
cpu,highdim_smooth,Smooth,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.00202023819322073,0.0003002874692668218,6,0.0012370862014656908,0.00041095858130316495,6,0.0007534470979356148,0.0002629828896109823,6,0.0008584155974727337,0.00018159884343435642,6,0.0008745941009715086,0.0001890479369804701,6,1.7788463401355343,0.8629734811577459,6,0.0005783728411015552,0.0001319869551557115,6,0.0005845527885083934,0.00013794946361179563,6,0.6712047227807592,6.4890696687770495,6,0.0001225918459758998,0.00024028001811276362,0.00016777313826847156,0.0003288353510062043,0.00010736231510493034,0.00021043013760566347,7.413741738229073e-05,0.00014530933806928983,7.717849708799704e-05,0.00015126985429247418,0.3523074483982985,0.690522598860665,5.3883448805849776e-05,0.00010561155965946556,5.631763268992245e-05,0.000110382560072248,2.6491515989791363,5.192337133999107,1.0
cpu,highdim_smooth,Smooth,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.011217103943657929,0.0018658018336636258,6,0.034105971557635804,0.007916433727180051,6,0.004565654950932675,0.0007348166494830486,6,0.010265484784416376,0.0016483265009766895,6,0.010665747955957164,0.0016787152821526336,6,3.812918978308124,1.27210785644977,6,0.0027332943425034555,0.0004915418728679189,6,0.002846137936230443,0.0004824311090364038,6,4.0495628050256895,2.7062897552235814,6,0.0007617104089375162,0.0014929524015175318,0.0032318705356917236,0.006334466249955778,0.0002999876409558383,0.0005879757762734431,0.0006729264761500146,0.0013189358932540287,0.0006853326441143742,0.0013432519824641736,0.519335857681268,1.0178982810552852,0.00020067112928973338,0.0003933154134078774,0.00019695167553069736,0.00038602528404016684,1.1048381660698936,2.1654828054969912,1.0
cpu,highdim_smooth,Smooth,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.011217103943657929,0.0018658018336636258,6,0.023580564050267035,0.004009073435815717,6,0.004937413198674576,0.0008403222576368676,6,0.009976667358785286,0.001635664316672262,6,0.010215229711347132,0.0016868757943251825,6,2.337903741495674,1.3483027540872445,6,0.0026992842790040795,0.0005327926562000282,6,0.0027552214031445845,0.00046311601668962957,6,2.4071209217637803,5.270375054221529,6,0.0007617104089375162,0.0014929524015175318,0.0016366973765158522,0.0032079268579710703,0.00034306012511898506,0.0006723978452332107,0.0006677571610541937,0.0013088040356662195,0.0006886641592581268,0.0013497817521459286,0.550442294383836,1.0788668969923185,0.00021751169106536223,0.00042632291448810994,0.00018906632209997513,0.00037056999131595126,2.151621605989329,4.217178347739084,1.0
cpu,highdim_strong,Strong nonlinear,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.001052138435590672,0.00018386113708959706,6,0.014773286728867935,0.006758144708729424,6,0.008041007320455668,0.0037495944180504026,6,0.0011048069548993322,0.0002815888126627756,6,0.001171620314392714,0.0003954582952126364,6,3.5304629751308823,7.8830434256787445,6,0.000831908884818603,0.00039719996295693613,6,0.00087743294506938,0.00044500677673182915,6,3.616566134939314,13.224006350869212,6,7.506099489956997e-05,0.00014711955000315714,0.002759001024046189,0.00540764200713053,0.0015307655111019202,0.0030003004017597635,0.00011495815138332713,0.00022531797671132117,0.0001614451729703125,0.0003164325390218125,3.2182390021857423,6.307748444284055,0.0001621562058494789,0.00031782616346497864,0.00018167325584560326,0.0003560795814573824,5.398677985825624,10.581408852218223,0.6666666666666666
cpu,highdim_strong,Strong nonlinear,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.001052138435590672,0.00018386113708959706,6,0.0013708818837855814,0.00037593485993216066,6,0.0008233936646490935,0.0002195864101004061,6,0.00109157703029128,0.0002925992934273722,6,0.0011539362582377766,0.00039253012271620095,6,3.461520007816125,6.970590159933407,6,0.000599381852747282,9.377575378210378e-05,6,0.0007371619720402089,0.00032553533166882376,6,11.454183393154091,21.563719003104307,6,7.506099489956997e-05,0.00014711955000315714,0.00015347476389307639,0.0003008105372304297,8.964577653258754e-05,0.00017570572200387158,0.00011945316133265894,0.00023412819621201151,0.0001602497515544594,0.00031408951304674043,2.845731516317039,5.577633771981397,3.828379116850401e-05,7.503623069026785e-05,0.00013289924263938397,0.00026048251557319257,8.803351419060451,17.254568781358483,0.6666666666666666
