case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,random_final_mse,gain_vs_random_pct,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,6,3375,0.0074097145629392,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,0.0084739541421393,12.558949002424727,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,6,3375,0.0084739541421393,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,0.0084739541421393,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,6,3375,0.0074636393551617,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,0.0084739541421393,11.92258973828429,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,6,3375,0.0081814714161525,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,0.0084739541421393,3.451549549133173,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,6,3375,0.008211379329696,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,0.0088731734844738,7.458370513501484,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,random,Random,6,3375,0.0088731734844738,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,500,0,0.0088731734844738,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,dopt,D-optimal,6,3375,0.0073054507749,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,500,0,0,0.0088731734844738,17.668117413876686,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,latin,Latin hypercube,6,3375,0.007536171970236,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,500,0.0088731734844738,15.067906838261406,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,6,3375,0.0081880106826667,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,265,235,0,0.0089846941495922,8.867118386680255,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,random,Random,6,3375,0.0089846941495922,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,500,0,0.0089846941495922,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,dopt,D-optimal,6,3375,0.0080188031145557,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,500,0,0,0.0089846941495922,10.750405288758056,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,0,latin,Latin hypercube,6,3375,0.0082532320697959,0.0553960469317339,0.951995881596246,0.5036959642639899,0.6468586097409081,0.5295419036684097,0,0,500,0.0089846941495922,8.141201777352716,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,6,3375,0.0088462064745633,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,312,188,0,0.0090236211271657,1.9661137153496528,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,6,3375,0.0090236211271657,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,0.0090236211271657,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,6,3375,0.008204157694616,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,0.0090236211271657,9.08131470727036,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,latin,Latin hypercube,6,3375,0.0081848161871215,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,500,0.0090236211271657,9.295657787747242,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,0,measure_weighted,Measure-weighted,6,3375,0.0062622096100053,0.0419422210531005,0.9338016346303266,0.4878719278417136,0.5783612394146296,0.5740651943804908,287,213,0,0.0076641936000532,18.29264842733389,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,0,random,Random,6,3375,0.0076641936000532,0.0419422210531005,0.9338016346303266,0.4878719278417136,0.5783612394146296,0.5740651943804908,0,500,0,0.0076641936000532,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,0,dopt,D-optimal,6,3375,0.0065068571450835,0.0419422210531005,0.9338016346303266,0.4878719278417136,0.5783612394146296,0.5740651943804908,500,0,0,0.0076641936000532,15.100563938803395,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,0,latin,Latin hypercube,6,3375,0.0063954964257444,0.0419422210531005,0.9338016346303266,0.4878719278417136,0.5783612394146296,0.5740651943804908,0,0,500,0.0076641936000532,16.553563760446252,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,1,measure_weighted,Measure-weighted,6,3375,0.0065907097163466,0.0503242937130985,0.9023924044919036,0.4763583491025011,0.5285225101779862,0.6064603683843088,303,197,0,0.0072136768937747,8.6359173913898,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,1,random,Random,6,3375,0.0072136768937747,0.0503242937130985,0.9023924044919036,0.4763583491025011,0.5285225101779862,0.6064603683843088,0,500,0,0.0072136768937747,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,2,1,dopt,D-optimal,6,3375,0.0068022285382537,0.0503242937130985,0.9023924044919036,0.4763583491025011,0.5285225101779862,0.6064603683843088,500,0,0,0.0072136768937747,5.703725874887454,20,measure_weighted_sampling_grand_mean_p20
