case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,0,375,0.0320901526034601,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,1,875,0.0175057483822965,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,2,1375,0.0115883437986525,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,3,1875,0.0102982534768935,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,4,2375,0.0082121312473089,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,5,2875,0.0079562902632367,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,measure_weighted,Measure-weighted,6,3375,0.0074097145629392,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,285,215,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,0,375,0.0366631285425983,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,1,875,0.0207668096437875,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,2,1375,0.014425968029683,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,3,1875,0.0109819935305661,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,4,2375,0.0100632696333102,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,5,2875,0.0086017664442383,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,random,Random,6,3375,0.0084739541421393,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,0,375,0.0406340443417225,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,1,875,0.0186666815938118,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,2,1375,0.013733791347441,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,3,1875,0.0098896128810442,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,4,2375,0.007981688055491,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,5,2875,0.0081288897942539,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,dopt,D-optimal,6,3375,0.0074636393551617,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,0,375,0.0360067547356831,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,1,875,0.0205045134771443,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,2,1375,0.0129900476752139,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,3,1875,0.0100139872079554,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,4,2375,0.0081314080065091,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,5,2875,0.0081601057722747,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,0,latin,Latin hypercube,6,3375,0.0081814714161525,0.0405347668884215,0.938664420656605,0.4895995937725133,0.5858397720661018,0.5692041481570338,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,0,375,0.0361148533057213,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,1,875,0.0206549604129678,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,2,1375,0.0143584331412106,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,3,1875,0.0101572090616618,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,4,2375,0.0097752622935694,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,5,2875,0.0082105666549409,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,6,3375,0.008211379329696,0.086816001303272,0.9689857951131234,0.5279008982081977,0.7516342990691698,0.4614377056050396,231,269,0,20,measure_weighted_sampling_grand_mean_p20
