case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,4.9289305934507865e-06,3.878700528678463e-10,4.933699681766006e-06,1.5142685279106786e-05,26,0.00013511614009040568,0.0002928729990907314,0.0014684654670366077,0.00026631711487396556,0.007363718899655567,0.004567464321132319,0.0007913304105939545,0.022929750519644472,90.79882073338281,93.58784265186935
paper_poly3,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,4.9289305934507865e-06,3.878700528678463e-10,4.933699681766006e-06,1.5142685279106786e-05,52,1.738926728817681e-05,4.455423578943998e-05,2.601162268829831e-05,1.6204034243600247e-05,5.128435477757794e-05,8.530304771971385e-05,5.300300241868732e-05,0.0001634724893127285,33.14808731252428,47.76946782038207
paper_poly3,tanh,cpu,,"16,8,4",0.01,100,75,25,26,6.2879435063223355e-06,8.891628042987643e-10,6.313060924031928e-06,1.7040984137959507e-05,26,0.027826326218869463,0.0349108617936316,0.0035968132526383342,0.0006566894924254876,0.02385896230869384,0.010707031765834926,0.0021622131249086378,0.07467216322931171,-673.6383366152884,-226.05546109453687
paper_poly3,tanh,cpu,,"16,8,4",0.01,100,75,25,26,6.2879435063223355e-06,8.891628042987643e-10,6.313060924031928e-06,1.7040984137959507e-05,52,0.00017244666710853655,0.0005541391821076435,0.00010195120402458346,5.7167969386799365e-05,0.00019782710427413824,0.0003356158916256915,0.00018795318697654284,0.0006750969787382239,-69.14627812237956,-65.11112731386046
paper_poly3,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.00023687507200520486,5.734467585973482e-07,0.00022081665345809938,0.00042023535083222165,26,1.63579375995487,0.5291883772372199,0.00559301726930335,0.001009630886753213,0.06851913533097048,0.018603853844934213,0.0032983782701264904,0.18197936392590222,-29147.071503475257,-2744.5094314762996
paper_poly3,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.00023687507200520486,5.734467585973482e-07,0.00022081665345809938,0.00042023535083222165,52,0.00015836642128667268,0.0003915533900300726,0.00011646955482550875,7.41144883816447e-05,0.0003020758143001143,0.00040911663029021445,0.0002498572100375196,0.0009843307302414832,-35.97237623508786,4.292966591869672
paper_poly4,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,2.6945157515001483e-05,7.782507540380882e-07,2.9134189198891064e-05,8.807596779324898e-05,26,0.0003997325776835958,0.001196540275698341,0.0020510020522629875,0.0007089153470853759,0.01993870942890487,0.006959350561468765,0.002362920517232926,0.05670092410660414,80.51037651363889,82.8067250653657
paper_poly4,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,2.6945157515001483e-05,7.782507540380882e-07,2.9134189198891064e-05,8.807596779324898e-05,52,4.697372592160037e-05,0.0001403026469781788,8.674470015106506e-05,4.9426327572570764e-05,0.00016825453104121692,0.0003082229092482631,0.00017032522370089408,0.0005632693638190505,45.84830446148747,54.48013669056319
paper_poly4,tanh,cpu,,"16,8,4",0.01,100,75,25,26,4.7210942284436896e-05,9.528305896776464e-07,5.013324110411427e-05,0.0001432824333733496,26,0.0011247818079780064,0.0026280722745318998,0.016290260433929688,0.005399092295726238,0.05669191700883365,0.04638288473885236,0.018007145573999947,0.15335739847806268,93.0953724617239,94.33396113819003
paper_poly4,tanh,cpu,,"16,8,4",0.01,100,75,25,26,4.7210942284436896e-05,9.528305896776464e-07,5.013324110411427e-05,0.0001432824333733496,52,0.00024371058999394688,0.0005539142282051856,0.0005202818953116504,0.00020921185959177913,0.0008883225579712036,0.0018674418539681471,0.0007355757999412597,0.0030731609291474145,53.15797220889965,70.33834135032546
