case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,5.242349743639352e-06,3.878700528678463e-10,5.246999938981231e-06,1.6032233505246936e-05,26,0.00013681910444906237,0.0002950976917114079,0.001488138602546048,0.0002709945894795252,0.007484160006755726,0.00469086455562628,0.0008047258126343772,0.024298551791729593,90.80602410185588,93.7090980092899
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,5.242349743639352e-06,3.878700528678463e-10,5.246999938981231e-06,1.6032233505246936e-05,52,1.7477244225426343e-05,4.51270429380256e-05,2.6050450221294937e-05,1.615045783142552e-05,5.124192937987592e-05,8.321150746371813e-05,5.397912705075505e-05,0.00016787982816127579,32.91001085601364,45.76826653729126
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,5.853256880072877e-06,8.891628042987643e-10,5.874340183414119e-06,1.543750612604869e-05,26,0.018225646152614294,0.02309567989487415,0.0035371116022686194,0.0008658127092782555,0.02328666607499572,0.010718757592596157,0.002752937782089594,0.06747977785106231,-415.2691857651536,-115.46974726648538
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,5.853256880072877e-06,8.891628042987643e-10,5.874340183414119e-06,1.543750612604869e-05,52,0.00018792377209546628,0.0006078818568812306,0.00011147952241627248,5.871385424771953e-05,0.0002349679456141156,0.0003620771886527405,0.00019533150753493149,0.0007943011623263393,-68.57245888957571,-67.88736654278307
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0002371087612118572,5.734467585973482e-07,0.00022114004139789584,0.00042029103146329225,26,1.7268465875073007,0.5367731470167468,0.005199804781966818,0.0009916320584514213,0.06338743479840915,0.016891866413845505,0.003233131510609078,0.17683430710397852,-33109.834982576474,-3077.701823267901
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0002371087612118572,5.734467585973482e-07,0.00022114004139789584,0.00042029103146329225,52,0.00015770431381539123,0.0003917122095398914,0.00011283064848970292,7.296496104484978e-05,0.0002951093252992049,0.0003912443958990916,0.0002484416033655333,0.000974890129040926,-39.77081220957756,-0.11957069435454509
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,2.6422027076478116e-05,7.782507540380882e-07,2.88540689934167e-05,8.71009982278509e-05,26,0.00021862339860400317,0.0006437755550005661,0.0029604442417301364,0.0011360968579912402,0.02181783160786133,0.010046287318310077,0.0036334971536356874,0.06792462090695593,92.61518269716724,93.59190579959585
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,2.6422027076478116e-05,7.782507540380882e-07,2.88540689934167e-05,8.71009982278509e-05,52,4.787428721097134e-05,0.00014181100490994253,8.257757252144379e-05,5.569096761134711e-05,0.00017250043555519298,0.00029042624422553225,0.00020044789832714463,0.000606125602140268,42.02507321399002,51.17142209785341
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,4.9000045692082494e-05,9.528305896776464e-07,5.510196549404544e-05,0.0001604555951580654,26,0.0010469513369103962,0.002428297684138968,0.011453637305972389,0.005351286063073406,0.043935242430437775,0.037849254579497685,0.017801972361765787,0.126138885428204,90.85922393959102,93.58429192036363
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,4.9000045692082494e-05,9.528305896776464e-07,5.510196549404544e-05,0.0001604555951580654,52,0.0002398313840690024,0.0005208635018927876,0.00046170285925223927,0.00019542196181823122,0.0008248142674950341,0.001632483593124769,0.0007126571279018005,0.0028447003090193252,48.055035990587875,68.09379867054024
