case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,5.242349743639352e-06,3.878700528678463e-10,5.246999938981231e-06,1.6032233505246936e-05,52,1.7477244225426343e-05,4.51270429380256e-05,2.6050450221294937e-05,1.615045783142552e-05,5.124192937987592e-05,8.321150746371813e-05,5.397912705075505e-05,0.00016787982816127579,32.91001085601364,45.76826653729126
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,5.853256880072877e-06,8.891628042987643e-10,5.874340183414119e-06,1.543750612604869e-05,52,0.00018792377209546628,0.0006078818568812306,0.00011147952241627248,5.871385424771953e-05,0.0002349679456141156,0.0003620771886527405,0.00019533150753493149,0.0007943011623263393,-68.57245888957571,-67.88736654278307
paper_poly3,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.0002371087612118572,5.734467585973482e-07,0.00022114004139789584,0.00042029103146329225,52,0.00015770431381539123,0.0003917122095398914,0.00011283064848970292,7.296496104484978e-05,0.0002951093252992049,0.0003912443958990916,0.0002484416033655333,0.000974890129040926,-39.77081220957756,-0.11957069435454509
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,2.6422027076478116e-05,7.782507540380882e-07,2.88540689934167e-05,8.71009982278509e-05,52,4.787428721097134e-05,0.00014181100490994253,8.257757252144379e-05,5.569096761134711e-05,0.00017250043555519298,0.00029042624422553225,0.00020044789832714463,0.000606125602140268,42.02507321399002,51.17142209785341
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,4.9000045692082494e-05,9.528305896776464e-07,5.510196549404544e-05,0.0001604555951580654,52,0.0002398313840690024,0.0005208635018927876,0.00046170285925223927,0.00019542196181823122,0.0008248142674950341,0.001632483593124769,0.0007126571279018005,0.0028447003090193252,48.055035990587875,68.09379867054024
paper_poly4,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,3.551678673829883e-05,1.7281630756843662e-07,3.568130365640881e-05,0.00012344752846765568,52,0.0007697317602747613,0.001883771250347799,0.001974384753189851,0.0009748373569846734,0.0043361972001116035,0.006626921298080695,0.0032745544530085402,0.013363883689159662,61.014095199470674,71.57396073357049
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,7.871626439737156e-05,4.853022822527697e-05,3.282906062891939e-05,0.00014237899668372397,52,0.000821504695949758,0.0024711283986543512,0.00047040029725342256,0.00035260907254389264,0.0008227533403458252,0.0019134409585182194,0.001513625646348889,0.003400502160325799,-74.63949337327526,-29.14578773143899
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,0.004945492837578058,0.02154927250307046,0.0261966823936817,0.04874247927107344,52,0.005812726145461401,0.013222953218298153,0.0200287003144059,0.007224763600109815,0.044228165616382195,0.07409293062949643,0.027725964249320313,0.14583390633031876,70.9780162755717,82.15355620845953
smooth_nonlinear,softplus,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.00238021113909781,0.0024352977601417927,0.006238266187765714,0.014975704947319358,52,0.01354459704859795,0.02284232651313571,0.018027754518265944,0.009105259077542852,0.04304960959398124,0.06641278171863958,0.03512116466302444,0.14304469092016905,24.868085845775205,65.60552664409067
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.1,1000,750,250,26,0.00017777230823412538,0.0020424779441773765,0.0020223047715110126,0.008919585053447204,52,0.006239212576681791,0.024121719057666587,0.1234163342276737,0.0608325271141589,0.253370635720725,0.3190178911575283,0.20706242921154344,0.4782191957321482,94.94458118876554,92.43875665714451
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.01,100,75,25,26,0.001035550725646317,0.0036763703849542247,0.0028368230579854155,0.019773206569299383,52,0.010034679313743109,0.030922469505612747,0.16718377992190137,0.05546005948787021,0.31939332840488854,0.3678669916460938,0.18554723947277446,0.5445924245532433,93.9978152674675,91.59411683901185
smooth_nonlinear_rand,tanh,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,"16,8,4",0.005,50,37,13,26,0.047571148723363876,0.3953615594563243,0.649293766973329,0.3884271072741296,52,0.010711111046445674,0.04120821803362186,0.2403450468950285,0.1117791220841952,0.7823421048008146,0.48102399559648235,0.30714447628215447,0.7193667521605136,95.54344423368799,91.43323027315455
