case,activation,device,cuda_name,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,4.9289305934507865e-06,3.878700528678463e-10,4.933699681766006e-06,1.5142685279106786e-05,52,1.738926728817681e-05,4.455423578943998e-05,2.601162268829831e-05,1.6204034243600247e-05,5.128435477757794e-05,8.530304771971385e-05,5.300300241868732e-05,0.0001634724893127,33.14808731252428,47.76946782038207
paper_poly3,tanh,cpu,,"16,8,4",0.01,100,75,25,26,6.287943506322336e-06,8.891628042987642e-10,6.313060924031928e-06,1.7040984137959507e-05,52,0.0001724466671085,0.0005541391821076,0.0001019512040245,5.7167969386799365e-05,0.0001978271042741,0.0003356158916256,0.0001879531869765,0.0006750969787382,-69.14627812237956,-65.11112731386046
paper_poly3,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.0002368750720052,5.734467585973482e-07,0.000220816653458,0.0004202353508322,52,0.0001583664212866,0.00039155339003,0.0001164695548255,7.41144883816447e-05,0.0003020758143001,0.0004091166302902,0.0002498572100375,0.0009843307302414,-35.97237623508786,4.292966591869672
paper_poly4,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,2.6945157515001483e-05,7.782507540380882e-07,2.9134189198891064e-05,8.807596779324898e-05,52,4.697372592160037e-05,0.0001403026469781,8.674470015106506e-05,4.942632757257077e-05,0.0001682545310412,0.0003082229092482,0.0001703252237008,0.000563269363819,45.84830446148747,54.48013669056319
paper_poly4,tanh,cpu,,"16,8,4",0.01,100,75,25,26,4.7210942284436896e-05,9.528305896776464e-07,5.013324110411427e-05,0.0001432824333733,52,0.0002437105899939,0.0005539142282051,0.0005202818953116,0.0002092118595917,0.0008883225579712,0.0018674418539681,0.0007355757999412,0.0030731609291474,53.15797220889965,70.33834135032546
paper_poly4,tanh,cpu,,"16,8,4",0.005,50,37,13,26,2.4001832571229897e-05,1.7281630756843664e-07,2.2751990388233788e-05,8.213426117808741e-05,52,0.000798459451925,0.0019619698164952,0.0019201112125802,0.0009381036724744,0.0055192966962166,0.006510193324668,0.0031250284817519,0.018512879418301,58.415978892593664,69.863109762639
smooth_nonlinear,softplus,cpu,,"16,8,4",0.1,1000,750,250,26,7.741028821328655e-05,4.853022822527697e-05,3.380828039760095e-05,0.0001476675330673,52,0.0005599686485718,0.0019073241833758,0.0003738986655827,0.000255423753236,0.0008271247093155,0.0015653690530495,0.0010745982233525,0.0034041924504179,-49.76481600944708,-21.845016653434605
smooth_nonlinear,softplus,cpu,,"16,8,4",0.01,100,75,25,26,0.0049191042780876,0.0215492725030704,0.0262244873631833,0.0486863367817751,52,0.005818536906642,0.0131629603231737,0.0202709675329076,0.0061664403659638,0.0421606106624267,0.0732726598647124,0.0243654837094946,0.1388051711593246,71.2962052886901,82.03564556346493
smooth_nonlinear,softplus,cpu,,"16,8,4",0.005,50,37,13,26,0.0022548018023371,0.0024352977601417,0.0062631626271757,0.0151938259820631,52,0.0133786779281373,0.0225870904227687,0.019475115808112,0.0090923837223228,0.044373394646279,0.0727886338987524,0.035315836805109,0.1459141314680558,31.303731079408056,68.96893208054028
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.1,1000,750,250,26,0.0001825744984671,0.0020424779441773,0.0020202653370948,0.0089170606485906,52,0.00619772570562,0.0240688275138797,0.1232753251017831,0.0606119349958103,0.2524702332468384,0.3193019843673749,0.2066714816081578,0.4767431576373451,94.97245235370264,92.46204887778362
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.01,100,75,25,26,0.0010334115941077,0.0036763703849542,0.0028811534546746,0.0200792122133414,52,0.0100099934595655,0.0307627575764366,0.1659783537503353,0.0601511581032542,0.3150980428090865,0.3737885112086687,0.1959412745506012,0.5324852340294193,93.96909703380808,91.77000987083224
smooth_nonlinear_rand,tanh,cpu,,"16,8,4",0.005,50,37,13,26,0.0489983595907688,0.3953615594563243,0.6532473262260484,0.3902084947103117,52,0.0104573166656372,0.0407584614695516,0.2340562447658041,0.1080731108212008,0.772470811708014,0.4776510390713292,0.3052230629548642,0.7182734519317924,95.53213516003352,91.46689567580631
