case,activation,hidden,pilot_fraction,pilot_n,pilot_train_n,pilot_val_n,n_parameters,pilot_nn_mse_vs_y,pilot_fpr_mse_vs_y,pilot_fpr_mse_vs_nn,pilot_shape_nn_fpr,budget,dopt_mse_vs_nn,dopt_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct
paper_poly3,tanh,"16,8,4",0.1,500,375,125,26,1.1348590305715334e-05,6.427054049524696e-10,1.1356689707488102e-05,3.4665124222247385e-05,26,0.0193270068007002,0.024533446094957598,0.0017400666719289003,0.0002654232974700867,0.00557460887967857,0.005398710944780772,0.000844653174309084,0.01586496838201183,-1010.7049581770227,-354.43155497471884
paper_poly3,tanh,"16,8,4",0.1,500,375,125,26,1.1348590305715334e-05,6.427054049524696e-10,1.1356689707488102e-05,3.4665124222247385e-05,52,0.0002123163511386953,0.00039635737841821697,6.977939591443756e-05,5.1609286210322545e-05,0.00014300995924721547,0.000224062300922437,0.00017030702274904347,0.00044732135780243783,-204.26796958665906,-76.89605827774787
paper_poly3,tanh,"16,8,4",0.01,50,37,13,26,4.3074476707261056e-05,2.5747085241912778e-08,4.188210028430126e-05,4.722413484644066e-05,26,0.00700577265846892,0.010861454802118434,0.00859696269767803,0.00416548535733063,0.04732711528028505,0.025885755560509878,0.012896174669246002,0.12425752627378354,18.50874657905491,58.04080442338654
paper_poly3,tanh,"16,8,4",0.01,50,37,13,26,4.3074476707261056e-05,2.5747085241912778e-08,4.188210028430126e-05,4.722413484644066e-05,52,0.0002529957665265128,0.0005517328589552072,0.000248061661360115,0.00016279377205758957,0.0004524679636369821,0.0007946286532176352,0.0005093508631627401,0.0012537226685189807,-1.9890639848754645,30.567208126574187
paper_poly4,tanh,"16,8,4",0.1,500,375,125,26,1.1204449037904851e-05,1.070678583275772e-07,1.0929218370083331e-05,3.268297250307208e-05,26,0.0012027402776672634,0.0031465662235058444,0.0019966910974328674,0.0005806286917402134,0.013054276398186496,0.0062350349101317915,0.0017428049262731573,0.039181547608422115,39.7633274764625,49.534104157255875
paper_poly4,tanh,"16,8,4",0.1,500,375,125,26,1.1204449037904851e-05,1.070678583275772e-07,1.0929218370083331e-05,3.268297250307208e-05,52,0.00022913868146181955,0.0006123911506378517,7.204766214239237e-05,4.871465293946204e-05,0.00014012118382372994,0.00022739684653023116,0.00015774842708681102,0.00042868016653956347,-218.03763598735267,-169.3050321418761
paper_poly4,tanh,"16,8,4",0.01,50,37,13,26,2.8517122700577602e-05,8.270336440925899e-07,2.3687131506728184e-05,8.047487700190646e-05,26,0.006680942978290353,0.010947412470051533,0.0036685212033576863,0.0010137728231676096,0.02419806033267768,0.01069079195379025,0.003166985418842282,0.054850762373818,-82.11542493404394,-2.400388272173813
paper_poly4,tanh,"16,8,4",0.01,50,37,13,26,2.8517122700577602e-05,8.270336440925899e-07,2.3687131506728184e-05,8.047487700190646e-05,52,0.0010233932802707893,0.001839020746808087,0.00048728084794543076,0.0002688837949840565,0.0007184721513775898,0.001442229356406405,0.0008360900406611787,0.0021069444931310095,-110.02124023257245,-27.51236401055966
smooth_nonlinear,softplus,"16,8,4",0.1,500,375,125,26,6.437436968553811e-05,4.869497118295154e-05,2.776303647590109e-05,0.00012435428785299068,26,0.050162163342552704,0.0859408519839513,0.026228507926144222,0.012419849041889995,0.3675786135186654,0.0932012966093381,0.04400828663038407,0.499321312774151,-91.25054114325634,7.790068260337226
smooth_nonlinear,softplus,"16,8,4",0.1,500,375,125,26,6.437436968553811e-05,4.869497118295154e-05,2.776303647590109e-05,0.00012435428785299068,52,0.002232841908205744,0.006774160092107383,0.0006705250975130143,0.0003709890870103066,0.001328544539802357,0.0025245809209703367,0.0015325920569226638,0.004800155636777595,-232.99900577732012,-168.32810292742357
smooth_nonlinear,softplus,"16,8,4",0.01,50,37,13,26,0.0006105079082772136,0.0005718387486143956,0.0014221667226750835,0.006676655649694182,26,0.006531539945732939,0.014883503962851737,0.657816295626058,0.12253012678047398,9.899292719890582,0.6332603469361155,0.29427975050057903,0.8890860820688775,99.00708754265251,97.64970220623127
smooth_nonlinear,softplus,"16,8,4",0.01,50,37,13,26,0.0006105079082772136,0.0005718387486143956,0.0014221667226750835,0.006676655649694182,52,0.0010107678856598836,0.003862012896990737,0.0045595946095130825,0.0032176980818081355,0.008309664435577152,0.01802327921120958,0.012557146167098932,0.029004397001584616,77.83206683438414,78.57208529184435
smooth_nonlinear_rand,tanh,"16,8,4",0.1,500,375,125,26,0.0002821384114213288,0.0006430314663235212,0.0011243037988123569,0.0044955862356536435,26,0.009313935155653347,0.024929137365808002,0.35581706313234107,0.1452498865776513,0.8427453736479799,0.5435776664024705,0.33775344969917215,0.6932212458877045,97.38238097024897,95.41387755483127
