device,case,case_label,p,initial_fraction,iteration,selected_n,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_n,batch_size,oracle_mse_vs_y_mean,oracle_mse_vs_y_std,oracle_mse_vs_y_count,pilot_mse_fullpr_vs_nn_mean,pilot_mse_fullpr_vs_nn_std,pilot_mse_fullpr_vs_nn_count,pilot_shape_fullpr_vs_nn_mean,pilot_shape_fullpr_vs_nn_std,pilot_shape_fullpr_vs_nn_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,mse_gain_vs_random_median_pct_mean,mse_gain_vs_random_median_pct_std,mse_gain_vs_random_median_pct_count,dopt_shape_vs_nn_mean,dopt_shape_vs_nn_std,dopt_shape_vs_nn_count,random_shape_median_mean,random_shape_median_std,random_shape_median_count,shape_gain_vs_random_median_pct_mean,shape_gain_vs_random_median_pct_std,shape_gain_vs_random_median_pct_count,oracle_mse_vs_y_sem,oracle_mse_vs_y_ci95,pilot_mse_fullpr_vs_nn_sem,pilot_mse_fullpr_vs_nn_ci95,pilot_shape_fullpr_vs_nn_sem,pilot_shape_fullpr_vs_nn_ci95,dopt_mse_vs_nn_sem,dopt_mse_vs_nn_ci95,random_mse_median_sem,random_mse_median_ci95,mse_gain_vs_random_median_pct_sem,mse_gain_vs_random_median_pct_ci95,dopt_shape_vs_nn_sem,dopt_shape_vs_nn_ci95,random_shape_median_sem,random_shape_median_ci95,shape_gain_vs_random_median_pct_sem,shape_gain_vs_random_median_pct_ci95,positive_rate
cuda,highdim_poly2,Quadratic,10,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,375,500,0.005020280613663772,0.0012581604149885545,6,0.0018552202443605605,0.0008909367051971122,6,0.0021851455776539168,0.0011599214912184947,6,0.0013214319325085355,0.0005287706106472988,6,0.0013382340958021932,0.0005321264120766075,6,1.3591910666016054,0.7736525858613582,6,0.0017831026911544732,0.0007097104606565012,6,0.0017796930449926979,0.0007044974223230523,6,0.015207144172417605,7.346865512315243,6,0.0005136418385483819,0.0010067380035548284,0.0003637233868082278,0.0007128978381441265,0.0004735359658622452,0.0009281304930900006,0.00021586969784429268,0.00042310460777481365,0.00021723969804094415,0.0004257898081602505,0.3158423455908465,0.6190509973580591,0.00028973808228733737,0.0005678866412831813,0.00028760986829958423,0.0005637153418671851,2.999345285670611,5.878716759914398,1.0
cuda,highdim_poly2,Quadratic,10,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,750,500,0.005020280613663772,0.0012581604149885545,6,0.0012119914403461495,0.0006045872691010257,6,0.0015445254472078757,0.0007596319407275167,6,0.001319068959340883,0.000527825628623453,6,0.001337115495838287,0.0005307162110672534,6,1.5121564440180446,0.8984518001603089,6,0.0017980428108151517,0.0007159442835547715,6,0.0018378092171429945,0.0007411995772025452,6,2.035982779515818,5.602193970643581,6,0.0005136418385483819,0.0010067380035548284,0.00024682171904670926,0.0004837705693315501,0.00031011844118375523,0.0006078321447201602,0.00021548391054853854,0.0004223484646751355,0.0002166639858896649,0.0004246614123437432,0.3667914114796264,0.7189111665000677,0.00029228302982861067,0.0005728747384640769,0.00030259346028547714,0.0005930831821595352,2.287086111362203,4.482688778269917,1.0
cuda,highdim_poly2,Quadratic,20,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,375,500,0.008007250931467995,0.0010000885314634758,6,0.038540435037832554,0.011978259810981294,6,0.020273697014241473,0.006177002300036321,6,0.003540555753715915,0.0007041853086505041,6,0.003612058589496536,0.0007232582867499769,6,1.957815152820871,0.7211680032657964,6,0.002468931750943612,0.0005301122967683458,6,0.002474113706174714,0.0005095624718426798,6,0.13099629649005706,4.748943370778156,6,0.0004082844332824793,0.0008002374892336594,0.0048901040905651085,0.009584604017507612,0.002521750629181178,0.004942631233195109,0.00028748244842633603,0.0005634655989156186,0.00029526895912950055,0.0005787271598938211,0.294415604470499,0.5770545847621781,0.00021641743890954922,0.0004241781802627165,0.00020802800801431439,0.0004077348957080562,1.9387480126298777,3.7999461047545604,1.0
cuda,highdim_poly2,Quadratic,20,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,270,271,750,500,0.008007250931467995,0.0010000885314634758,6,0.0048114011346348995,0.0014005389982087917,6,0.003052904161676631,0.0008414904170087951,6,0.0035163430247584977,0.0007096852606543533,6,0.003575923721696545,0.0007157278621090297,6,1.6999008525879227,0.4282651331174538,6,0.0023922807457074304,0.0004942155304457995,6,0.0024269359818895617,0.000504764937469563,6,1.317239795319031,6.2720610381853215,6,0.0004082844332824793,0.0008002374892336594,0.0005717676517467106,0.0011206645974235526,0.0003435370241855638,0.0006733325674037051,0.0002897277944295408,0.0005678664770818999,0.00029219467614336684,0.000572701565240999,0.17483850846047924,0.3426834765825393,0.0002017626454251889,0.00039545478503337023,0.00020606942280804785,0.0004038960687037738,2.5605581965241595,5.018694065187352,1.0
cuda,highdim_poly2,Quadratic,50,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,375,500,0.037016567843385605,0.005454430761277767,6,0.04032820828672172,0.004498760161388465,6,0.005936556411771602,0.0004796448383360124,6,0.033838445063159604,0.0062560484120289936,6,0.03502645614893036,0.006132217089202863,6,3.5505084130696942,1.6722172314857533,6,0.008995698656938507,0.0015387874395149002,6,0.009526677545393358,0.0016523579036808154,6,5.538308589687296,1.9868820554292517,6,0.0022267620337451557,0.004364453586140505,0.0018366111450937735,0.003599757844383796,0.00019581418528049303,0.00038379580314976635,0.0025540210692700017,0.005005881295769204,0.002503467143420355,0.004906795601103896,0.6826798260382727,1.3380524590350145,0.0006282073415692231,0.0012312863894756772,0.0006745722894121454,0.001322161687247805,0.8111412024823184,1.589836756865344,1.0
cuda,highdim_poly2,Quadratic,50,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,1425,1426,750,500,0.037016567843385605,0.005454430761277767,6,0.03235069535846572,0.004009106126784961,6,0.0065843764847387425,0.001054371129096427,6,0.0328025824492429,0.0059689387462108,6,0.033718603474703755,0.005912718320713934,6,2.81600703042608,1.1627851950977426,6,0.008821171352452408,0.0017580167658712864,6,0.009027028195942009,0.0015363531429919205,6,2.478536128016138,7.311795832602924,6,0.0022267620337451557,0.004364453586140505,0.0016367107225481597,0.003207953016194393,0.0004304452109680694,0.000843672613497416,0.0024368090390240733,0.004776145716487184,0.0024138571464258265,0.00473116000699462,0.4747050680753429,0.9304219334276721,0.000717707339273762,0.0014067063849765736,0.0006272135441752344,0.0012293385465834594,2.985028148880942,5.850655171806646,1.0
cuda,highdim_poly2,Quadratic,100,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,5350,5351,375,500,0.11561751488540578,0.009168875194724225,6,0.06573808515639025,0.006890499776366362,6,0.0020485240751821556,0.0004235659806466586,6,0.10024792881491577,0.006973614970385608,6,0.10379634789398862,0.007835133932426469,6,3.3776086556999565,1.6423348197881997,6,0.012737117432320423,0.0010810560759449122,6,0.013055498576788444,0.0010618555195705162,6,2.410634644732702,3.6120050268904813,6,0.003743177623722684,0.00733662814249646,0.0028130347541431983,0.005513548118120669,0.00017292008749764806,0.0003389233714953902,0.0028469663900131275,0.00558005412442573,0.0031986800334685107,0.006269412865598281,0.6704803825478092,1.314141549793706,0.0004413392949000825,0.0008650250180041617,0.0004335007005842803,0.0008496613731451894,1.4745948773749187,2.8902059596548404,1.0
cuda,highdim_poly2,Quadratic,100,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,5350,5351,750,500,0.11561751488540578,0.009168875194724225,6,0.05580809282217827,0.007221523573954901,6,0.004236162698993853,0.0005970515025084956,6,0.10562535784678878,0.00729369471841516,6,0.11004006375912435,0.008064648327159253,6,3.9802000852131734,1.6424676526233517,6,0.013215835941539201,0.0010557703080057586,6,0.01386633882669897,0.0011022524753773572,6,4.656080428980157,3.3960189169399513,6,0.003743177623722684,0.00733662814249646,0.0029481746536115746,0.005778422321078686,0.00024374525521797416,0.0004777407002272293,0.002977638399958296,0.00583617126391826,0.0032923788927550182,0.006453062629799835,0.6705346113256774,1.3142478381983276,0.0004310164233658571,0.00084479218979708,0.0004499926887323674,0.00088198566991544,1.386418917223675,2.717381077758403,1.0
cuda,highdim_poly2,Quadratic,200,0.05,5,2875,10000,7500,2500,"128,64,32",tanh,1000,2,True,20700,20701,375,500,0.11269029578325103,0.006752232835823378,6,0.06029029641961947,0.007884048119365425,6,0.000445449781795071,0.00014581820994702857,6,0.07189131856476676,0.005751665180102174,6,0.07273356707591176,0.005647945181047763,6,1.1701291214619907,0.9911531079633581,6,0.003989713870094455,0.0002832302848484909,6,0.003974749506712783,0.000337028078866961,6,-0.4874981341464739,2.3712826238303553,6,0.002756587512038856,0.0054029115235961584,0.0032186491666657694,0.006308552366664908,5.953003492937509e-05,0.00011667886846157517,0.0023481074770972396,0.004602290655110589,0.0023057639647963628,0.004519297371000871,0.4046365619139856,0.7930876613514118,0.00011562827959698939,0.00022663142801009918,0.00013759113703575682,0.0002696786285900834,0.9680720773854062,1.8974212716753962,1.0
cuda,highdim_poly2,Quadratic,200,0.1,5,3250,10000,7500,2500,"128,64,32",tanh,1000,2,True,20700,20701,750,500,0.11269029578325103,0.006752232835823378,6,0.06311313522371804,0.0038643397107351583,6,0.0010294362011955811,0.00015081413810412924,6,0.07187005867745218,0.00593204927919277,6,0.07281459490911292,0.006070620804409054,6,1.2892991943698844,1.0266277660119467,6,0.004008256178463752,0.0002797072313452127,6,0.004025451708073613,0.00042750590453430646,6,0.10323485215355961,3.9411547933055227,6,0.002756587512038856,0.0054029115235961584,0.0015776100806792475,0.003092115758131325,6.156961405879171e-05,0.00012067644355523175,0.002421748977177839,0.004746627995268564,0.0024783205654543574,0.004857508308290541,0.41911903041711207,0.8214732996175397,0.00011418999902706333,0.00022381239809304412,0.00017452855468933805,0.00034207596719110255,1.6089697068204392,3.1535806253680607,0.8333333333333334
