group,relation,x,y,spearman_rho,p_value,n
ALL,激活改变(缩放) → NN-PR接近度(内),act_io_scaled_mean,shape_NN_FPR_in,0.5011082254189584,1.645242699519717e-190,3000
ALL,激活改变(未缩) → NN-PR接近度(内),act_io_unscaled_mean,shape_NN_FPR_in,0.06102215739504456,0.0008256639030897547,3000
ALL,激活改变(缩放) → NN-PR接近度(外推),act_io_scaled_mean,shape_NN_FPR_ext,0.5899386163162904,8.356545975404681e-281,3000
ALL,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.5228113150031503,3.8705376081766484e-210,3000
ALL,激活改变(缩放) → Taylor-PR失效,act_io_scaled_mean,TPR_mse_vs_NN,0.5850052200208801,7.12635715726791e-93,1000
ALL,NN-PR接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8396972946330327,0.0,3000
paper_poly4,激活改变(缩放) → NN-PR接近度(内),act_io_scaled_mean,shape_NN_FPR_in,0.20814441196870662,2.8850696754538865e-10,900
paper_poly4,激活改变(未缩) → NN-PR接近度(内),act_io_unscaled_mean,shape_NN_FPR_in,0.011619262199388853,0.7277612009280829,900
paper_poly4,激活改变(缩放) → NN-PR接近度(外推),act_io_scaled_mean,shape_NN_FPR_ext,0.16346726996099004,8.206010009220323e-07,900
paper_poly4,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.17466727160710488,1.3397486123425708e-07,900
paper_poly4,激活改变(缩放) → Taylor-PR失效,act_io_scaled_mean,TPR_mse_vs_NN,0.2678856838081693,2.5157011342854336e-06,300
paper_poly4,NN-PR接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8725224599042716,1.3922331196464837e-281,900
paper_poly3,激活改变(缩放) → NN-PR接近度(内),act_io_scaled_mean,shape_NN_FPR_in,0.18998968926891405,9.237500096684403e-09,900
paper_poly3,激活改变(未缩) → NN-PR接近度(内),act_io_unscaled_mean,shape_NN_FPR_in,0.01914024014480693,0.5663321132253998,900
paper_poly3,激活改变(缩放) → NN-PR接近度(外推),act_io_scaled_mean,shape_NN_FPR_ext,0.29605737466318666,1.1519376533393395e-19,900
paper_poly3,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.15863732912783104,1.7285000979669593e-06,900
paper_poly3,激活改变(缩放) → Taylor-PR失效,act_io_scaled_mean,TPR_mse_vs_NN,0.43411529401306737,3.223501771238019e-15,300
paper_poly3,NN-PR接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8359164394030117,3.443375452155624e-236,900
smooth_nonlinear_rand,激活改变(缩放) → NN-PR接近度(内),act_io_scaled_mean,shape_NN_FPR_in,-0.005430831576649981,0.8707548692719617,900
smooth_nonlinear_rand,激活改变(未缩) → NN-PR接近度(内),act_io_unscaled_mean,shape_NN_FPR_in,0.002617983388842109,0.937485625760685,900
smooth_nonlinear_rand,激活改变(缩放) → NN-PR接近度(外推),act_io_scaled_mean,shape_NN_FPR_ext,0.2586374402394566,3.200018966854436e-15,900
smooth_nonlinear_rand,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,0.029821458296733123,0.3715364082026885,900
smooth_nonlinear_rand,激活改变(缩放) → Taylor-PR失效,act_io_scaled_mean,TPR_mse_vs_NN,0.8063593937508335,6.07368619178655e-70,300
smooth_nonlinear_rand,NN-PR接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.44342997954318464,1.2119354185044138e-44,900
smooth_nonlinear,激活改变(缩放) → NN-PR接近度(内),act_io_scaled_mean,shape_NN_FPR_in,-0.2927965777233819,2.4195881562460413e-07,300
smooth_nonlinear,激活改变(未缩) → NN-PR接近度(内),act_io_unscaled_mean,shape_NN_FPR_in,-0.3279024417800372,5.978774731348051e-09,300
smooth_nonlinear,激活改变(缩放) → NN-PR接近度(外推),act_io_scaled_mean,shape_NN_FPR_ext,0.19998066615739135,0.0004929270864775427,300
smooth_nonlinear,相邻层非线性 → NN-PR接近度(内),act_pair_mean,shape_NN_FPR_in,-0.3083854551943657,4.964995555213746e-08,300
smooth_nonlinear,激活改变(缩放) → Taylor-PR失效,act_io_scaled_mean,TPR_mse_vs_NN,0.1054981992797119,0.29619088755022455,100
smooth_nonlinear,NN-PR接近度 → 性能差距,shape_NN_FPR_in,abs_rmse_gap,0.8479916443516039,3.7330558790392513e-84,300
